Penguin Capitalist - Historical Backtest Log
Generated: 2026-02-25 12:55:16
================================================================================

EXECUTION DETAILS
--------------------------------------------------------------------------------

Bar 9:
  RandomPenguin: BUY 1 NVDA @ $187.47
  RandomPenguin: BUY 1 GLD @ $462.45
  RandomPenguin2: BUY 1 AAPL @ $259.86
  RandomPenguin2: BUY 1 PLTR @ $134.67
  RandomPenguin2: BUY 1 MSTR @ $130.13
  RandomPenguin2: BUY 1 SLV @ $73.03
  TrendPenguin: BUY 1 NVDA @ $187.47
  TrendPenguin: BUY 1 AAPL @ $259.86
  TrendPenguin: BUY 1 PLTR @ $134.67
  TrendPenguin: BUY 1 AMD @ $202.70
  TrendPenguin: BUY 1 MSFT @ $397.89
  TrendPenguin: BUY 1 GLD @ $462.45

Bar 10:
  RandomPenguin: BUY 1 NVDA @ $187.47
  RandomPenguin: BUY 1 MSTR @ $130.18
  RandomPenguin: BUY 1 GLD @ $462.38
  RandomPenguin: BUY 1 SLV @ $73.03
  RandomPenguin2: BUY 1 NVDA @ $187.47
  RandomPenguin2: BUY 1 AAPL @ $259.81
  RandomPenguin2: SELL 1 MSTR @ $129.92
  RandomPenguin2: BUY 1 MSFT @ $397.80
  RandomPenguin2: BUY 1 GLD @ $462.38
  TrendPenguin: BUY 1 NVDA @ $187.47
  TrendPenguin: SELL 1 AAPL @ $259.29
  TrendPenguin: BUY 1 MSTR @ $130.18
  TrendPenguin: SELL 1 MSFT @ $397.00
  TrendPenguin: BUY 1 TSLA @ $411.56
  TrendPenguin: BUY 1 NOC @ $742.74
  TrendPenguin: SELL 1 GLD @ $461.46
  TrendPenguin: BUY 1 SLV @ $73.03

Bar 11:
  RandomPenguin: BUY 1 AAPL @ $259.99
  RandomPenguin: BUY 1 AMD @ $202.66
  RandomPenguin: BUY 1 GLD @ $462.44
  RandomPenguin: BUY 1 SLV @ $72.96
  RandomPenguin2: SELL 1 NVDA @ $187.06
  RandomPenguin2: SELL 1 AAPL @ $259.47
  RandomPenguin2: BUY 1 PLTR @ $134.73
  RandomPenguin2: BUY 1 BE @ $158.47
  RandomPenguin2: SELL 1 MSFT @ $397.14
  RandomPenguin2: BUY 1 NVO @ $47.96
  RandomPenguin2: SELL 1 GLD @ $461.52
  RandomPenguin2: BUY 1 SLV @ $72.96
  TrendPenguin: SELL 1 NVDA @ $187.06
  TrendPenguin: BUY 1 AAPL @ $259.99
  TrendPenguin: BUY 1 PLTR @ $134.73
  TrendPenguin: SELL 1 AMD @ $202.26
  TrendPenguin: BUY 1 BE @ $158.47
  TrendPenguin: BUY 1 MSFT @ $397.93
  TrendPenguin: BUY 1 NVO @ $47.96
  TrendPenguin: BUY 1 GLD @ $462.44
  TrendPenguin: SELL 1 SLV @ $72.81

Bar 12:
  RandomPenguin: SELL 1 AAPL @ $259.35
  RandomPenguin: BUY 1 PLTR @ $134.89
  RandomPenguin: SELL 1 AMD @ $202.06
  RandomPenguin: BUY 1 BE @ $158.17
  RandomPenguin: BUY 1 MSTR @ $130.05
  RandomPenguin: SELL 1 GLD @ $461.48
  RandomPenguin: SELL 1 SLV @ $72.87
  RandomPenguin2: SELL 1 AAPL @ $259.35
  RandomPenguin2: SELL 1 PLTR @ $134.62
  RandomPenguin2: BUY 1 BE @ $158.17
  RandomPenguin2: BUY 1 MSTR @ $130.05
  RandomPenguin2: BUY 1 MSFT @ $397.77
  RandomPenguin2: BUY 1 TSLA @ $411.69
  RandomPenguin2: SELL 1 SLV @ $72.87
  TrendPenguin: SELL 1 NVDA @ $187.04
  TrendPenguin: SELL 1 AAPL @ $259.35
  TrendPenguin: BUY 1 PLTR @ $134.89
