Strategy Summary: CopilotPenguin

Portfolio Totals
Cash,"$10,767.97"
Market Value,$0.00
Total Value,"$10,767.97"
Total Buy Count,237
Total Sell Count,237
Total PnL,$767.97

Symbol,Buy Count,Sell Count,Shares Bought,Total Cost,Total Revenue,Total PnL,PnL %
AAPL,1,1,1,$273.35,$273.28,$-0.07,-0.03%
ABBV,1,1,1,$222.20,$219.93,$-2.28,-1.02%
ABNB,1,1,1,$133.41,$130.88,$-2.53,-1.90%
ABT,1,1,1,$123.70,$122.34,$-1.35,-1.10%
ADBE,1,1,1,$351.19,$343.93,$-7.26,-2.07%
ADM,1,1,1,$58.83,$58.22,$-0.61,-1.04%
AEP,1,1,1,$114.62,$113.47,$-1.15,-1.00%
AFRM,1,1,1,$75.68,$73.47,$-2.21,-2.92%
AI,1,1,1,$13.68,$13.42,$-0.26,-1.92%
ALB,1,1,1,$176.54,$170.81,$-5.72,-3.24%
AMAT,1,1,1,$264.02,$397.48,$133.46,+50.55%
AMD,1,1,1,$217.84,$213.43,$-4.42,-2.03%
AMGN,1,1,1,$365.89,$360.77,$-5.13,-1.40%
AMT,1,1,1,$176.03,$174.17,$-1.87,-1.06%
AMZN,1,1,1,$233.21,$233.04,$-0.17,-0.07%
AON,1,1,1,$315.60,$325.40,$9.80,+3.11%
APA,1,1,1,$24.46,$24.50,$0.03,+0.14%
APD,1,1,1,$276.89,$274.09,$-2.80,-1.01%
ASML,1,1,1,"$1,117.55","$1,449.91",$332.36,+29.74%
AVGO,1,1,1,$352.04,$352.13,$0.09,+0.03%
AXP,1,1,1,$358.07,$354.05,$-4.02,-1.12%
BA,1,1,1,$251.38,$248.80,$-2.58,-1.03%
BAC,1,1,1,$55.20,$54.24,$-0.96,-1.75%
BALL,1,1,1,$54.01,$53.24,$-0.77,-1.43%
BK,1,1,1,$121.18,$119.71,$-1.46,-1.21%
BKNG,1,1,1,$167.72,$176.95,$9.23,+5.50%
BKR,1,1,1,$45.50,$63.42,$17.92,+39.38%
BLK,1,1,1,$946.11,$933.67,$-12.44,-1.31%
BMY,1,1,1,$53.12,$52.08,$-1.03,-1.95%
C,1,1,1,$117.51,$116.28,$-1.24,-1.05%
CAT,1,1,1,$589.99,$788.00,$198.01,+33.56%
CB,1,1,1,$338.02,$333.23,$-4.79,-1.42%
CCI,1,1,1,$86.39,$85.08,$-1.31,-1.51%
CF,1,1,1,$79.33,$77.74,$-1.59,-2.00%
CHRW,1,1,1,$164.06,$160.62,$-3.44,-2.10%
CI,1,1,1,$273.43,$275.27,$1.83,+0.67%
CL,1,1,1,$77.88,$76.33,$-1.55,-1.98%
CMCSA,1,1,1,$29.97,$29.39,$-0.58,-1.93%
CME,1,1,1,$285.06,$298.93,$13.87,+4.87%
CMG,1,1,1,$37.15,$35.05,$-2.10,-5.66%
COIN,1,1,1,$233.53,$226.76,$-6.77,-2.90%
COP,1,1,1,$93.26,$122.83,$29.57,+31.70%
COST,1,1,1,$970.68,"$1,030.00",$59.32,+6.11%
CRM,1,1,1,$260.56,$255.21,$-5.35,-2.05%
CRWD,1,1,1,$407.74,$403.41,$-4.33,-1.06%
CSCO,1,1,1,$77.00,$75.80,$-1.20,-1.56%
CSX,1,1,1,$36.01,$35.33,$-0.69,-1.91%
CTRA,1,1,1,$26.26,$25.71,$-0.55,-2.11%
CVX,1,1,1,$152.33,$189.73,$37.40,+24.55%
D,1,1,1,$59.06,$57.88,$-1.18,-2.00%
DAL,1,1,1,$69.15,$67.73,$-1.42,-2.05%
DD,1,1,1,$40.18,$47.98,$7.80,+19.41%
DDOG,1,1,1,$138.01,$135.09,$-2.92,-2.12%
DE,1,1,1,$585.77,$579.76,$-6.00,-1.02%
DG,1,1,1,$143.16,$141.64,$-1.52,-1.06%
DHR,1,1,1,$228.77,$222.92,$-5.85,-2.56%
DIA,1,1,1,$482.49,$476.97,$-5.52,-1.14%
DIS,1,1,1,$113.72,$112.46,$-1.26,-1.11%
DLR,1,1,1,$158.72,$188.15,$29.43,+18.54%
DOW,1,1,1,$23.46,$38.21,$14.75,+62.86%
DPZ,1,1,1,$388.23,$384.04,$-4.19,-1.08%
DUK,1,1,1,$116.98,$116.96,$-0.02,-0.02%
DVN,1,1,1,$36.71,$35.98,$-0.73,-2.00%
EA,1,1,1,$204.49,$201.70,$-2.78,-1.36%
EBAY,1,1,1,$87.77,$86.70,$-1.07,-1.22%
ECL,1,1,1,$301.71,$295.91,$-5.80,-1.92%
ED,1,1,1,$97.19,$114.98,$17.79,+18.31%
EL,1,1,1,$108.87,$107.76,$-1.11,-1.02%
EMR,1,1,1,$137.91,$135.97,$-1.93,-1.40%
EOG,1,1,1,$102.64,$136.58,$33.94,+33.07%
EQIX,1,1,1,$966.43,"$1,031.57",$65.14,+6.74%
ETN,1,1,1,$323.43,$324.00,$0.57,+0.18%
ETSY,1,1,1,$55.67,$54.68,$-0.99,-1.78%
EXC,1,1,1,$43.72,$42.88,$-0.84,-1.93%
EXPD,1,1,1,$160.34,$156.74,$-3.60,-2.24%
F,1,1,1,$13.14,$12.89,$-0.25,-1.90%
FANG,1,1,1,$144.78,$141.97,$-2.81,-1.94%
FAST,1,1,1,$40.44,$40.03,$-0.41,-1.00%
FCX,1,1,1,$51.96,$51.26,$-0.70,-1.35%
FDX,1,1,1,$318.05,$377.00,$58.95,+18.53%
GD,1,1,1,$336.75,$344.60,$7.84,+2.33%
GE,1,1,1,$313.90,$306.96,$-6.94,-2.21%
GILD,1,1,1,$121.75,$120.49,$-1.26,-1.03%
GIS,1,1,1,$46.19,$45.70,$-0.49,-1.07%
GM,1,1,1,$80.51,$79.08,$-1.42,-1.77%
GOOGL,1,1,1,$317.13,$310.93,$-6.20,-1.96%
GS,1,1,1,$819.64,$802.81,$-16.83,-2.05%
HAL,1,1,1,$28.31,$37.49,$9.18,+32.41%
HCA,1,1,1,$526.32,$509.42,$-16.90,-3.21%
HD,1,1,1,$377.62,$370.36,$-7.26,-1.92%
HLT,1,1,1,$296.71,$293.53,$-3.19,-1.07%
HON,1,1,1,$195.59,$236.07,$40.48,+20.69%
HOOD,1,1,1,$116.12,$114.93,$-1.18,-1.02%
HSY,1,1,1,$190.11,$210.84,$20.73,+10.90%
ICE,1,1,1,$165.80,$164.12,$-1.68,-1.01%
IFF,1,1,1,$67.21,$66.00,$-1.22,-1.81%
INTC,1,1,1,$37.62,$61.83,$24.21,+64.35%
INTU,1,1,1,$403.97,$392.18,$-11.79,-2.92%
ISRG,1,1,1,$491.53,$481.08,$-10.45,-2.13%
ITW,1,1,1,$258.48,$255.88,$-2.60,-1.01%
IWM,1,1,1,$264.66,$259.59,$-5.07,-1.92%
JBHT,1,1,1,$201.65,$197.72,$-3.93,-1.95%
JNJ,1,1,1,$207.02,$204.95,$-2.07,-1.00%
JPM,1,1,1,$310.23,$306.64,$-3.59,-1.16%
KHC,1,1,1,$24.34,$23.86,$-0.48,-1.99%
KLAC,1,1,1,"$1,443.50","$1,409.92",$-33.58,-2.33%
KMB,1,1,1,$101.03,$99.07,$-1.96,-1.94%
KMI,1,1,1,$27.46,$27.13,$-0.32,-1.17%
KO,1,1,1,$69.15,$68.41,$-0.74,-1.08%
KR,1,1,1,$62.42,$61.19,$-1.23,-1.97%
LIN,1,1,1,$493.30,$487.48,$-5.82,-1.18%
LLY,1,1,1,$922.96,$896.82,$-26.14,-2.83%
LMT,1,1,1,$626.32,$611.78,$-14.54,-2.32%
LOW,1,1,1,$273.85,$264.67,$-9.19,-3.35%
LRCX,1,1,1,$175.81,$259.83,$84.02,+47.79%
LSTR,1,1,1,$151.26,$149.72,$-1.53,-1.01%
LULU,1,1,1,$209.33,$204.20,$-5.13,-2.45%
LYB,1,1,1,$43.74,$70.90,$27.16,+62.08%
LYFT,1,1,1,$19.59,$19.60,$0.01,+0.04%
MAR,1,1,1,$314.17,$310.86,$-3.31,-1.05%
MCD,1,1,1,$306.03,$302.50,$-3.52,-1.15%
MCHP,1,1,1,$65.34,$65.47,$0.13,+0.20%
MDLZ,1,1,1,$53.46,$52.90,$-0.56,-1.04%
MDT,1,1,1,$96.32,$93.96,$-2.36,-2.45%
META,1,1,1,$665.13,$656.03,$-9.10,-1.37%
MLM,1,1,1,$587.04,$573.71,$-13.33,-2.27%
MNST,1,1,1,$76.11,$75.32,$-0.79,-1.04%
MO,1,1,1,$57.73,$57.10,$-0.63,-1.10%
MOS,1,1,1,$24.16,$23.67,$-0.50,-2.05%
MPC,1,1,1,$174.32,$172.53,$-1.78,-1.02%
MPWR,1,1,1,"$1,087.59","$1,040.78",$-46.81,-4.30%
MRK,1,1,1,$106.45,$122.00,$15.55,+14.60%
MS,1,1,1,$183.70,$181.64,$-2.06,-1.12%
