Strategy Summary: MinMaxSRPenguin

Portfolio Totals
Cash,"$9,648.91"
Market Value,$0.00
Total Value,"$9,648.91"
Total Buy Count,45035
Total Sell Count,24121
Total PnL,$-351.09

Symbol,Buy Count,Sell Count,Shares Bought,Total Cost,Total Revenue,Total PnL,PnL %
AAPL,336,179,336,"$87,798.51","$87,800.35",$1.84,+0.00%
ABBV,126,78,126,"$27,523.37","$27,543.06",$19.70,+0.07%
ABNB,151,87,151,"$19,552.12","$19,542.44",$-9.67,-0.05%
ABT,171,102,171,"$19,068.68","$19,056.70",$-11.98,-0.06%
ADBE,226,146,226,"$62,276.31","$62,274.78",$-1.53,-0.00%
ADM,188,103,188,"$12,748.30","$12,760.25",$11.96,+0.09%
AEP,105,69,105,"$13,241.41","$13,261.89",$20.48,+0.15%
AFRM,305,162,305,"$17,478.63","$17,488.25",$9.62,+0.06%
AI,498,211,498,"$5,242.49","$5,242.39",$-0.09,-0.00%
ALB,142,103,142,"$24,314.60","$24,395.66",$81.06,+0.33%
AMAT,112,84,112,"$37,887.70","$37,879.11",$-8.59,-0.02%
AMD,392,192,392,"$84,522.05","$84,455.58",$-66.48,-0.08%
AMGN,81,55,81,"$28,535.13","$28,530.62",$-4.50,-0.02%
AMT,110,64,110,"$19,711.46","$19,723.73",$12.28,+0.06%
AMZN,285,168,285,"$62,454.17","$62,481.72",$27.56,+0.04%
AON,84,49,84,"$27,725.13","$27,694.91",$-30.22,-0.11%
APA,322,153,322,"$10,295.01","$10,306.59",$11.58,+0.11%
APD,73,56,73,"$20,304.57","$20,325.47",$20.90,+0.10%
ASML,127,83,127,"$174,524.06","$174,230.16",$-293.90,-0.17%
AVGO,296,166,296,"$97,844.76","$97,822.97",$-21.79,-0.02%
AXP,74,53,74,"$25,012.16","$25,069.05",$56.89,+0.23%
BA,164,116,164,"$37,017.83","$37,023.84",$6.01,+0.02%
BAC,284,164,284,"$14,652.39","$14,650.17",$-2.22,-0.02%
BALL,139,76,139,"$8,301.12","$8,309.19",$8.07,+0.10%
BK,83,55,83,"$9,926.53","$9,943.16",$16.63,+0.17%
BKNG,20,14,20,"$17,588.98","$17,635.99",$47.01,+0.27%
BKR,210,120,210,"$12,122.74","$12,127.23",$4.49,+0.04%
BLK,34,29,34,"$34,417.10","$34,362.93",$-54.17,-0.16%
BMY,221,112,221,"$12,824.21","$12,829.44",$5.23,+0.04%
C,144,97,144,"$16,408.45","$16,410.52",$2.07,+0.01%
CAT,48,44,48,"$33,294.76","$33,303.40",$8.64,+0.03%
CB,80,57,80,"$25,661.85","$25,646.11",$-15.74,-0.06%
CCI,157,80,157,"$13,429.17","$13,408.20",$-20.97,-0.16%
CF,245,124,245,"$27,319.52","$27,315.48",$-4.05,-0.01%
CHRW,103,55,103,"$18,377.27","$18,376.90",$-0.37,-0.00%
CI,91,55,91,"$25,007.79","$25,045.71",$37.92,+0.15%
CL,162,103,162,"$14,181.29","$14,192.95",$11.66,+0.08%
CMCSA,350,166,350,"$10,336.08","$10,346.96",$10.88,+0.11%
CME,109,61,109,"$32,354.91","$32,377.23",$22.33,+0.07%
CMG,345,154,345,"$12,710.90","$12,715.63",$4.72,+0.04%
COIN,424,206,424,"$82,256.94","$82,196.88",$-60.06,-0.07%
COP,213,120,213,"$24,196.85","$24,215.22",$18.37,+0.08%
COST,48,36,48,"$46,383.82","$46,446.59",$62.76,+0.14%
CRM,202,121,202,"$40,545.60","$40,534.67",$-10.93,-0.03%
CRWD,128,85,128,"$52,819.03","$52,763.54",$-55.49,-0.11%
CSCO,225,126,225,"$17,461.51","$17,463.22",$1.70,+0.01%
CSX,220,106,220,"$8,504.03","$8,514.22",$10.18,+0.12%
CTRA,274,131,274,"$8,252.44","$8,273.43",$20.98,+0.25%
CVX,276,148,276,"$51,638.73","$51,657.48",$18.75,+0.04%
D,175,92,175,"$10,791.07","$10,795.59",$4.52,+0.04%
DAL,268,156,268,"$18,010.43","$18,023.81",$13.37,+0.07%
DD,202,98,202,"$9,248.62","$9,254.36",$5.74,+0.06%
DDOG,236,128,236,"$29,044.12","$29,034.42",$-9.70,-0.03%
DE,49,44,49,"$27,881.31","$27,928.56",$47.24,+0.17%
DG,169,90,169,"$23,696.82","$23,676.80",$-20.01,-0.08%
DHR,98,63,98,"$20,398.46","$20,415.88",$17.42,+0.09%
DIA,64,51,64,"$30,665.08","$30,683.96",$18.88,+0.06%
DIS,205,131,205,"$21,491.62","$21,496.58",$4.97,+0.02%
DLR,118,69,118,"$20,204.51","$20,227.30",$22.79,+0.11%
DOW,365,181,365,"$11,943.30","$11,952.63",$9.33,+0.08%
DPZ,99,57,99,"$38,822.26","$38,831.05",$8.78,+0.02%
DUK,113,73,113,"$14,144.63","$14,148.06",$3.44,+0.02%
DVN,351,179,351,"$15,327.86","$15,356.04",$28.18,+0.18%
EA,50,32,50,"$10,070.63","$10,070.12",$-0.52,-0.01%
EBAY,176,86,176,"$15,785.96","$15,787.40",$1.44,+0.01%
ECL,66,49,66,"$18,296.44","$18,299.90",$3.45,+0.02%
ED,116,66,116,"$12,643.07","$12,656.97",$13.90,+0.11%
EL,176,97,176,"$16,969.77","$16,918.47",$-51.30,-0.30%
EMR,114,70,114,"$16,534.65","$16,533.66",$-0.99,-0.01%
EOG,172,105,172,"$21,268.09","$21,300.62",$32.52,+0.15%
EQIX,33,30,33,"$30,332.57","$30,394.30",$61.73,+0.20%
ETN,99,68,99,"$35,085.88","$35,258.09",$172.21,+0.49%
ETSY,269,116,269,"$14,484.15","$14,514.74",$30.58,+0.21%
EXC,214,90,214,"$9,946.97","$9,953.11",$6.14,+0.06%
EXPD,112,67,112,"$16,862.66","$16,869.47",$6.82,+0.04%
F,394,170,394,"$5,170.85","$5,172.31",$1.45,+0.03%
FANG,137,80,137,"$24,024.81","$24,045.83",$21.02,+0.09%
FAST,203,96,203,"$9,152.78","$9,162.46",$9.68,+0.11%
FCX,334,191,334,"$20,030.45","$20,038.74",$8.29,+0.04%
FDX,52,43,52,"$17,974.19","$18,008.39",$34.20,+0.19%
GD,57,45,57,"$20,105.63","$20,125.46",$19.83,+0.10%
GE,126,81,126,"$38,965.60","$38,934.90",$-30.70,-0.08%
GILD,130,85,130,"$17,892.90","$17,916.54",$23.64,+0.13%
GIS,320,142,320,"$13,613.35","$13,607.69",$-5.66,-0.04%
GM,228,111,228,"$18,174.56","$18,181.72",$7.16,+0.04%
GOOGL,243,147,243,"$75,770.84","$75,774.52",$3.68,+0.00%
GS,45,34,45,"$40,174.53","$40,144.29",$-30.24,-0.08%
HAL,323,168,323,"$11,275.32","$11,287.67",$12.35,+0.11%
HCA,57,40,57,"$28,484.08","$28,469.96",$-14.12,-0.05%
