Strategy Summary: MomentumPenguin

Portfolio Totals
Cash,"$7,557.75"
Market Value,$0.00
Total Value,"$7,557.75"
Total Buy Count,25253
Total Sell Count,24968
Total PnL,"$-2,442.25"

Symbol,Buy Count,Sell Count,Shares Bought,Total Cost,Total Revenue,Total PnL,PnL %
ABBV,3,3,3,$669.48,$657.25,$-12.22,-1.83%
ABNB,8,8,8,"$1,034.08","$1,017.03",$-17.05,-1.65%
ABT,12,12,12,"$1,345.59","$1,320.72",$-24.88,-1.85%
ADBE,4,4,4,"$1,039.92","$1,036.36",$-3.56,-0.34%
ADM,30,29,30,"$2,009.64","$1,989.53",$-20.11,-1.00%
AEP,4,4,4,$496.09,$497.82,$1.73,+0.35%
AES,42,42,42,$658.24,$651.33,$-6.91,-1.05%
AFRM,102,102,102,"$5,898.94","$5,847.06",$-51.88,-0.88%
AI,310,310,310,"$2,998.03","$2,987.57",$-10.46,-0.35%
ALB,42,42,42,"$7,090.41","$7,023.74",$-66.66,-0.94%
AMAT,11,11,11,"$3,688.07","$3,660.23",$-27.85,-0.76%
AMD,19,19,19,"$4,086.56","$4,104.28",$17.72,+0.43%
AMGN,1,1,1,$354.90,$347.70,$-7.20,-2.03%
AMT,9,9,9,"$1,597.79","$1,618.46",$20.67,+1.29%
AMZN,3,3,3,$661.71,$651.55,$-10.16,-1.54%
APA,140,140,140,"$4,552.31","$4,560.72",$8.41,+0.18%
APD,3,3,3,$872.14,$876.85,$4.71,+0.54%
APP,20,20,20,"$9,078.53","$9,114.55",$36.02,+0.40%
ARCT,411,410,411,"$3,072.04","$3,039.34",$-32.70,-1.06%
ASML,2,2,2,"$2,240.94","$2,328.87",$87.92,+3.92%
AVAV,77,77,77,"$18,533.29","$18,501.34",$-31.95,-0.17%
AVGO,8,8,8,"$2,592.35","$2,616.22",$23.86,+0.92%
BA,2,2,2,$444.47,$416.84,$-27.63,-6.22%
BABA,18,18,18,"$2,584.12","$2,600.05",$15.93,+0.62%
BAC,12,12,12,$645.04,$632.83,$-12.21,-1.89%
BALL,20,19,20,"$1,238.78","$1,243.24",$4.46,+0.36%
BBAI,570,552,570,"$2,522.59","$2,509.59",$-13.00,-0.52%
BBY,33,33,33,"$2,183.42","$2,171.77",$-11.65,-0.53%
BE,231,231,231,"$33,384.69","$33,344.75",$-39.94,-0.12%
BEAM,339,339,339,"$9,716.24","$9,718.90",$2.66,+0.03%
BHP,15,15,15,"$1,060.39","$1,044.19",$-16.20,-1.53%
BILL,118,118,118,"$5,174.62","$5,180.51",$5.90,+0.11%
BK,11,11,11,"$1,301.06","$1,319.73",$18.67,+1.43%
BKR,47,46,47,"$2,842.58","$2,836.63",$-5.95,-0.21%
