Strategy Summary: RSI Mean Reversion Selective

Portfolio Totals
Cash,"$10,994.70"
Market Value,$0.00
Total Value,"$10,994.70"
Total Buy Count,100
Total Sell Count,100
Total PnL,$994.70

Symbol,Buy Count,Sell Count,Shares Bought,Total Cost,Total Revenue,Total PnL,PnL %
ADBE,1,1,1,$378.28,$414.75,$36.47,+9.64%
AI,1,1,1,$22.07,$26.48,$4.41,+19.99%
AMD,1,1,1,$99.70,$110.36,$10.66,+10.69%
AMZN,1,1,1,$196.92,$204.62,$7.70,+3.91%
APA,1,1,1,$18.95,$17.00,$-1.95,-10.31%
APP,1,1,1,$260.01,$390.75,$130.73,+50.28%
ARCT,1,1,1,$14.19,$12.53,$-1.66,-11.72%
AVAV,1,1,1,$114.61,$178.00,$63.39,+55.31%
AVGO,1,1,1,$192.81,$242.08,$49.26,+25.55%
BA,1,1,1,$148.78,$206.74,$57.96,+38.96%
BABA,1,1,1,$137.35,$113.59,$-23.75,-17.29%
BBAI,1,1,1,$4.76,$4.16,$-0.60,-12.66%
BE,1,1,1,$22.29,$18.49,$-3.80,-17.04%
BHP,1,1,1,$49.28,$48.89,$-0.39,-0.79%
BLDP,1,1,1,$1.12,$1.33,$0.21,+18.73%
BNTX,1,1,1,$108.52,$95.81,$-12.71,-11.71%
CAN,1,1,1,$1.24,$0.61,$-0.63,-50.77%
CI,1,1,1,$314.44,$316.64,$2.20,+0.70%
CL,1,1,1,$97.13,$92.94,$-4.19,-4.31%
COIN,1,1,1,$205.77,$245.63,$39.87,+19.37%
CVX,1,1,1,$152.69,$136.64,$-16.05,-10.51%
DHR,1,1,1,$211.24,$189.90,$-21.33,-10.10%
DKNG,1,1,1,$41.63,$35.84,$-5.79,-13.91%
DNA,1,1,1,$8.49,$7.03,$-1.46,-17.20%
DOCU,1,1,1,$79.14,$88.80,$9.66,+12.21%
EA,1,1,1,$135.05,$143.81,$8.76,+6.49%
EDIT,1,1,1,$1.40,$1.71,$0.31,+21.80%
EOG,1,1,1,$122.30,$107.62,$-14.68,-12.01%
FCEL,1,1,1,$6.01,$5.16,$-0.85,-14.17%
GOOGL,1,1,1,$165.41,$171.10,$5.69,+3.44%
GREE,1,1,1,$0.93,$1.38,$0.46,+49.24%
HCA,1,1,1,$314.85,$381.39,$66.54,+21.13%
HOOD,1,1,1,$53.77,$65.69,$11.92,+22.16%
INTC,1,1,1,$23.87,$19.52,$-4.35,-18.21%
IWM,1,1,1,$199.71,$204.50,$4.79,+2.40%
JD,1,1,1,$40.31,$32.42,$-7.89,-19.57%
KHC,1,1,1,$30.51,$26.71,$-3.80,-12.45%
KSS,1,1,1,$8.55,$8.16,$-0.39,-4.62%
KTOS,1,1,1,$27.83,$36.55,$8.73,+31.37%
LAC,1,1,1,$2.61,$2.69,$0.08,+3.06%
LCID,1,1,1,$2.22,$2.25,$0.03,+1.15%
LI,1,1,1,$28.45,$28.31,$-0.14,-0.50%
LRCX,1,1,1,$77.73,$80.75,$3.02,+3.88%
M,1,1,1,$13.28,$11.89,$-1.40,-10.51%
MARA,1,1,1,$13.85,$14.08,$0.23,+1.65%
MDB,1,1,1,$184.11,$188.25,$4.14,+2.25%
MDLZ,1,1,1,$68.15,$67.49,$-0.66,-0.97%
META,1,1,1,$616.92,$646.44,$29.52,+4.79%
MNST,1,1,1,$54.92,$63.95,$9.03,+16.44%
MP,1,1,1,$23.61,$21.83,$-1.78,-7.55%
MPWR,1,1,1,$568.11,$661.90,$93.79,+16.51%
MRNA,1,1,1,$31.69,$26.57,$-5.12,-16.15%
MSFT,1,1,1,$379.12,$459.34,$80.22,+21.16%
MSTR,1,1,1,$253.46,$366.41,$112.95,+44.56%
MU,1,1,1,$91.70,$94.27,$2.58,+2.81%
NET,1,1,1,$115.15,$165.46,$50.31,+43.69%
NIO,1,1,1,$4.45,$3.57,$-0.88,-19.76%
NU,1,1,1,$11.04,$11.95,$0.91,+8.24%
NUE,1,1,1,$133.00,$123.81,$-9.19,-6.91%
NVDA,1,1,1,$114.75,$134.51,$19.76,+17.22%
NVO,1,1,1,$90.04,$71.20,$-18.84,-20.92%
OKE,1,1,1,$88.87,$79.62,$-9.25,-10.41%
ON,1,1,1,$43.54,$41.95,$-1.59,-3.65%
OPEN,1,1,1,$1.20,$0.65,$-0.55,-45.49%
ORA,1,1,1,$70.99,$74.33,$3.34,+4.70%
PATH,1,1,1,$12.07,$13.26,$1.18,+9.81%
PDD,1,1,1,$116.85,$96.42,$-20.44,-17.49%
PLTR,1,1,1,$81.09,$130.18,$49.09,+60.54%
PLUG,1,1,1,$1.62,$0.88,$-0.74,-45.79%
PYPL,1,1,1,$68.31,$69.96,$1.64,+2.40%
QCOM,1,1,1,$153.53,$145.25,$-8.28,-5.39%
QQQ,1,1,1,$473.01,$518.31,$45.30,+9.58%
RDFN,1,1,1,$6.45,$10.00,$3.55,+55.01%
RIO,1,1,1,$61.59,$59.43,$-2.16,-3.51%
RIOT,1,1,1,$8.92,$8.03,$-0.89,-10.02%
RIVN,1,1,1,$10.69,$14.52,$3.83,+35.78%
RKLB,1,1,1,$19.09,$26.83,$7.74,+40.52%
RSG,1,1,1,$231.75,$257.29,$25.54,+11.02%
RTX,1,1,1,$127.49,$136.75,$9.26,+7.27%
SEDG,1,1,1,$15.33,$17.89,$2.56,+16.69%
SHOP,1,1,1,$98.34,$107.04,$8.70,+8.85%
SNAP,1,1,1,$9.72,$8.22,$-1.50,-15.42%
SNOW,1,1,1,$175.24,$205.03,$29.80,+17.00%
SOFI,1,1,1,$12.03,$13.24,$1.20,+10.00%
SOUN,1,1,1,$10.20,$10.09,$-0.11,-1.07%
SSO,1,1,1,$81.92,$88.50,$6.58,+8.03%
STLD,1,1,1,$122.03,$138.31,$16.27,+13.34%
STZ,1,1,1,$188.13,$178.58,$-9.55,-5.08%
TER,1,1,1,$109.02,$78.64,$-30.38,-27.87%
TSLA,1,1,1,$262.04,$345.39,$83.34,+31.80%
U,1,1,1,$24.98,$26.03,$1.04,+4.17%
UBER,1,1,1,$75.48,$83.96,$8.49,+11.24%
UPST,1,1,1,$47.07,$47.17,$0.10,+0.22%
VALE,1,1,1,$9.78,$9.13,$-0.65,-6.65%
VERI,1,1,1,$2.80,$1.61,$-1.19,-42.51%
VTR,1,1,1,$65.12,$64.28,$-0.84,-1.29%
WMT,1,1,1,$87.02,$98.55,$11.53,+13.26%
XLF,1,1,1,$48.21,$50.71,$2.50,+5.19%
XPEV,1,1,1,$20.36,$19.38,$-0.99,-4.84%
ZG,1,1,1,$66.91,$66.17,$-0.74,-1.11%
