Strategy Summary: RSIMeanReversionPenguin

Portfolio Totals
Cash,"$58,107.16"
Market Value,$0.00
Total Value,"$58,107.16"
Total Buy Count,1494757
Total Sell Count,512499
Total PnL,"$48,107.16"

Symbol,Buy Count,Sell Count,Shares Bought,Total Cost,Total Revenue,Total PnL,PnL %
AAPL,6683,2398,6683,"$1,626,953.49","$1,627,180.93",$227.44,+0.01%
ABBV,3160,1254,3160,"$664,441.75","$664,653.48",$211.74,+0.03%
ABNB,3048,1392,3048,"$390,292.80","$390,554.19",$261.39,+0.07%
ABT,3397,1241,3397,"$414,368.44","$414,682.99",$314.55,+0.08%
ADBE,3411,1555,3411,"$1,082,633.26","$1,082,750.96",$117.70,+0.01%
ADM,3937,1379,3937,"$229,066.40","$229,168.66",$102.26,+0.04%
AEP,2868,1094,2868,"$329,371.38","$329,575.74",$204.36,+0.06%
AES,9018,2622,9018,"$116,791.22","$116,899.28",$108.06,+0.09%
AFRM,5819,2400,5819,"$374,289.59","$374,629.29",$339.70,+0.09%
AI,10464,3219,10464,"$193,727.77","$193,780.55",$52.78,+0.03%
ALB,4745,1878,4745,"$505,321.84","$506,190.29",$868.45,+0.17%
AMAT,3015,1553,3015,"$729,244.18","$730,028.63",$784.45,+0.11%
AMD,5932,2179,5932,"$1,051,692.46","$1,052,117.57",$425.12,+0.04%
AMGN,1909,937,1909,"$611,867.40","$612,350.09",$482.69,+0.08%
AMT,2392,895,2392,"$455,476.35","$455,567.47",$91.12,+0.02%
AMZN,5121,2097,5121,"$1,130,110.03","$1,130,169.39",$59.36,+0.01%
AON,1692,695,1692,"$586,683.21","$586,402.77",$-280.44,-0.05%
APA,6374,2212,6374,"$157,093.28","$157,185.86",$92.59,+0.06%
APD,1570,721,1570,"$430,373.78","$430,398.73",$24.94,+0.01%
APP,3846,1765,3846,"$1,782,724.18","$1,782,350.27",$-373.91,-0.02%
ARCT,6370,1800,6370,"$73,381.60","$73,592.52",$210.92,+0.29%
ASML,1919,1073,1919,"$2,081,959.25","$2,083,248.58","$1,289.33",+0.06%
AVAV,3595,1584,3595,"$875,986.84","$876,150.23",$163.39,+0.02%
AVGO,5111,2152,5111,"$1,565,238.55","$1,565,629.42",$390.87,+0.02%
AXP,1558,871,1558,"$508,569.73","$509,001.98",$432.25,+0.08%
BA,4929,2215,4929,"$1,030,802.47","$1,030,990.38",$187.91,+0.02%
BABA,8857,2758,8857,"$1,214,978.03","$1,215,342.95",$364.92,+0.03%
BAC,6813,2569,6813,"$332,152.64","$332,145.49",$-7.15,-0.00%
BALL,2760,977,2760,"$149,548.29","$149,607.85",$59.55,+0.04%
BBAI,15894,3006,15894,"$83,515.88","$83,644.34",$128.46,+0.15%
BBY,3214,1234,3214,"$227,914.90","$227,955.99",$41.08,+0.02%
BE,8993,2949,8993,"$700,652.19","$700,829.64",$177.45,+0.03%
BEAM,5409,1870,5409,"$125,198.84","$125,445.57",$246.73,+0.20%
BHP,5830,2113,5830,"$337,759.21","$337,830.93",$71.73,+0.02%
BILL,3849,1351,3849,"$185,459.48","$185,628.79",$169.31,+0.09%
BK,1719,825,1719,"$179,706.67","$179,901.34",$194.67,+0.11%
BKR,4034,1584,4034,"$196,446.11","$196,703.26",$257.15,+0.13%
BLDP,9760,2383,9760,"$22,261.37","$22,335.21",$73.83,+0.33%
BLUE,2005,615,2005,"$10,421.56","$10,449.01",$27.45,+0.26%
BMY,6671,2295,6671,"$343,943.23","$344,066.02",$122.79,+0.04%
BNTX,3910,1483,3910,"$402,350.64","$402,708.13",$357.49,+0.09%
C,3984,1928,3984,"$385,355.19","$385,638.88",$283.69,+0.07%
CAN,23536,4035,23536,"$20,141.58","$20,170.51",$28.92,+0.14%
CAT,1707,983,1707,"$962,657.20","$963,124.30",$467.10,+0.05%
CB,2133,855,2133,"$638,180.02","$638,407.26",$227.25,+0.04%
CCI,2835,1028,2835,"$261,530.71","$261,570.37",$39.66,+0.02%
CF,4004,1191,4004,"$388,937.16","$389,224.57",$287.40,+0.07%
CHRW,2420,908,2420,"$341,057.05","$341,110.82",$53.77,+0.02%
CHWY,6938,2111,6938,"$240,183.57","$240,377.84",$194.27,+0.08%
CI,2237,867,2237,"$645,470.39","$645,945.06",$474.67,+0.07%
CL,3584,1240,3584,"$305,979.40","$306,088.72",$109.32,+0.04%
CMCSA,8072,2456,8072,"$254,535.18","$254,662.21",$127.03,+0.05%
CME,2926,996,2926,"$814,772.34","$815,017.54",$245.19,+0.03%
CMG,7365,2529,7365,"$311,486.84","$311,528.35",$41.50,+0.01%
COIN,5395,2096,5395,"$1,392,011.94","$1,392,272.49",$260.55,+0.02%
COP,4594,1745,4594,"$466,467.56","$466,700.13",$232.57,+0.05%
COST,1814,931,1814,"$1,720,847.42","$1,721,035.70",$188.28,+0.01%
CRM,3829,1727,3829,"$903,027.47","$903,134.48",$107.01,+0.01%
CRSP,5651,2300,5651,"$289,794.56","$290,411.55",$616.99,+0.21%
CRWD,2913,1478,2913,"$1,287,634.77","$1,287,823.13",$188.37,+0.01%
CSCO,6192,2383,6192,"$437,124.29","$437,252.79",$128.51,+0.03%
CSX,5028,1724,5028,"$175,655.33","$175,777.42",$122.09,+0.07%
CTRA,5119,1783,5119,"$138,379.50","$138,524.12",$144.62,+0.10%
CVNA,3965,1729,3965,"$1,329,146.78","$1,329,306.52",$159.75,+0.01%
CVX,5304,2042,5304,"$879,692.68","$879,760.60",$67.91,+0.01%
D,3678,1324,3678,"$216,860.72","$216,882.80",$22.08,+0.01%
DAL,5831,2325,5831,"$343,287.77","$343,442.78",$155.01,+0.05%
DD,2702,1126,2702,"$156,187.38","$156,251.78",$64.40,+0.04%
DDOG,3813,1610,3813,"$503,618.98","$504,032.13",$413.15,+0.08%
DE,1396,704,1396,"$728,221.12","$728,901.32",$680.20,+0.09%
