Strategy Summary: Smart RSI Confluence

Portfolio Totals
Cash,"$11,060.42"
Market Value,$0.00
Total Value,"$11,060.42"
Total Buy Count,59
Total Sell Count,59
Total PnL,"$1,060.42"

Symbol,Buy Count,Sell Count,Shares Bought,Total Cost,Total Revenue,Total PnL,PnL %
AAPL,1,1,2,$361.77,$535.07,$173.30,+47.90%
AFRM,1,1,2,$97.90,$131.90,$34.00,+34.72%
BA,1,1,2,$490.58,$441.61,$-48.97,-9.98%
BABA,1,1,2,$149.51,$272.52,$123.01,+82.28%
BBAI,1,1,2,$4.00,$7.71,$3.71,+92.82%
BLDP,1,1,2,$7.52,$6.20,$-1.32,-17.57%
BLUE,1,1,2,$2.96,$9.98,$7.02,+237.09%
BMY,1,1,1,$52.31,$59.42,$7.11,+13.60%
CAN,1,1,2,$5.09,$1.07,$-4.02,-79.01%
COIN,1,1,2,$366.39,$399.89,$33.50,+9.14%
CTRA,1,1,2,$52.01,$63.86,$11.85,+22.78%
CVX,1,1,2,$301.02,$372.18,$71.16,+23.64%
DAL,1,1,2,$80.38,$141.57,$61.20,+76.14%
DIS,1,1,2,$183.14,$209.88,$26.75,+14.61%
DNA,1,1,2,$3.12,$16.52,$13.40,+429.38%
DOCU,1,1,2,$111.82,$95.30,$-16.52,-14.78%
ENPH,1,1,2,$232.92,$67.88,$-165.05,-70.86%
F,1,1,2,$23.71,$25.65,$1.94,+8.16%
FCEL,1,1,2,$3.07,$19.20,$16.13,+525.15%
FCX,1,1,2,$83.44,$136.72,$53.28,+63.86%
FSLY,1,1,2,$33.01,$53.65,$20.64,+62.55%
GOOGL,1,1,2,$276.25,$669.70,$393.45,+142.42%
GREE,1,1,2,$12.20,$2.44,$-9.76,-80.00%
JD,1,1,1,$25.25,$30.60,$5.35,+21.21%
LAC,1,1,2,$12.26,$9.70,$-2.56,-20.90%
MARA,1,1,2,$53.31,$22.69,$-30.61,-57.43%
MRNA,1,1,2,$230.02,$108.96,$-121.06,-52.63%
MSTR,1,1,2,"$1,318.26",$335.86,$-982.40,-74.52%
MU,1,1,2,$167.53,$906.92,$739.39,+441.34%
NFLX,1,1,2,$942.19,$185.84,$-756.35,-80.28%
NIO,1,1,2,$15.82,$12.97,$-2.85,-18.00%
NU,1,1,1,$8.73,$15.12,$6.39,+73.20%
NVDA,1,1,2,$977.13,$401.24,$-575.89,-58.94%
NVO,1,1,2,$211.61,$79.36,$-132.25,-62.50%
OPEN,1,1,2,$8.12,$11.15,$3.03,+37.29%
ORCL,1,1,2,$211.98,$367.63,$155.65,+73.42%
PDD,1,1,2,$288.82,$199.59,$-89.22,-30.89%
PLTR,1,1,2,$31.58,$294.50,$262.92,+832.50%
PLUG,1,1,2,$8.68,$6.24,$-2.44,-28.14%
PYPL,1,1,2,$123.17,$101.90,$-21.27,-17.27%
QQQ,1,1,2,$809.52,"$1,294.59",$485.07,+59.92%
RDFN,1,1,2,$19.74,$22.60,$2.85,+14.46%
RIO,1,1,2,$144.29,$197.94,$53.65,+37.18%
RIOT,1,1,2,$34.24,$35.45,$1.21,+3.53%
RIVN,1,1,2,$38.19,$34.49,$-3.70,-9.68%
RKLB,1,1,2,$11.12,$177.28,$166.16,+1493.97%
RSI,1,1,2,$7.98,$46.68,$38.70,+484.85%
RUN,1,1,2,$34.47,$23.74,$-10.72,-31.11%
SOFI,1,1,2,$16.78,$38.36,$21.58,+128.60%
SOUN,1,1,2,$4.00,$16.13,$12.13,+303.33%
SPCE,1,1,2,$4.62,$5.87,$1.25,+26.99%
SQ,1,1,2,$144.21,$174.34,$30.13,+20.89%
TSLA,1,1,2,$493.03,$777.62,$284.58,+57.72%
TSM,1,1,2,$200.12,$738.85,$538.73,+269.21%
U,1,1,2,$75.06,$51.19,$-23.86,-31.79%
UAL,1,1,2,$81.46,$195.88,$114.43,+140.47%
UPST,1,1,2,$79.32,$67.53,$-11.78,-14.86%
XOM,1,1,2,$204.76,$296.42,$91.66,+44.76%
XPEV,1,1,2,$27.83,$34.56,$6.73,+24.20%
