Strategy Summary: Buy Equal Price Each Penguin

Portfolio Totals
Cash,"$199,542.31"
Market Value,$0.00
Total Value,"$199,542.31"
Total Buy Count,90
Total Sell Count,90
Total PnL,"$99,542.31"

Symbol,Buy Count,Sell Count,Shares Bought,Total Cost,Total Revenue,Total PnL,PnL %
AAPL,1,1,2,"$1,521.90","$2,407.85",$885.94,+58.21%
AFRM,1,1,31,"$1,543.95","$2,064.54",$520.58,+33.72%
AI,1,1,54,"$1,560.76",$496.75,"$-1,064.01",-68.17%
ALB,1,1,1,$145.65,$169.63,$23.97,+16.46%
AMD,1,1,10,"$1,476.47","$4,390.28","$2,913.81",+197.35%
APP,1,1,1,$39.75,$477.97,$438.21,+1102.35%
BABA,1,1,20,"$1,536.98","$2,685.32","$1,148.33",+74.71%
BAC,1,1,47,"$1,581.24","$2,405.46",$824.22,+52.13%
BBAI,1,1,206,$445.00,$838.21,$393.21,+88.36%
BE,1,1,1,$11.30,$280.83,$269.53,+2384.76%
BHP,1,1,1,$68.80,$84.17,$15.37,+22.34%
BLDP,1,1,2,$7.40,$9.49,$2.09,+28.22%
BLUE,1,1,1133,"$1,586.36","$5,653.67","$4,067.31",+256.39%
C,1,1,30,"$1,542.45","$3,735.60","$2,193.15",+142.19%
CAN,1,1,574,"$1,585.39",$256.11,"$-1,329.27",-83.85%
CHWY,1,1,67,"$1,580.06","$1,348.35",$-231.71,-14.66%
COIN,1,1,8,"$1,496.60","$1,531.82",$35.22,+2.35%
CVNA,1,1,8,$430.04,$519.69,$89.64,+20.85%
CVX,1,1,10,"$1,497.15","$1,912.80",$415.65,+27.76%
DAL,1,1,1,$40.29,$73.70,$33.40,+82.89%
DIA,1,1,1,$378.02,$499.02,$121.00,+32.01%
DIS,1,1,17,"$1,537.80","$1,767.15",$229.35,+14.91%
DKNG,1,1,45,"$1,586.86","$1,131.75",$-455.11,-28.68%
DNA,1,1,944,"$1,586.08","$7,341.30","$5,755.22",+362.86%
EL,1,1,10,"$1,465.05",$780.90,$-684.15,-46.70%
ENPH,1,1,11,"$1,464.80",$582.69,$-882.10,-60.22%
F,1,1,5,$61.11,$65.98,$4.88,+7.98%
FCEL,1,1,991,"$1,585.76","$20,335.90","$18,750.15",+1182.41%
GILD,1,1,19,"$1,537.44","$2,471.80",$934.36,+60.77%
GM,1,1,1,$36.05,$75.87,$39.82,+110.44%
GREE,1,1,197,"$1,581.47",$246.25,"$-1,335.22",-84.43%
HAL,1,1,1,$36.74,$42.20,$5.46,+14.85%
HOOD,1,1,122,"$1,586.16","$9,195.77","$7,609.61",+479.75%
INTC,1,1,31,"$1,557.91","$3,624.48","$2,066.58",+132.65%
IWM,1,1,7,"$1,415.40","$1,950.89",$535.48,+37.83%
JD,1,1,56,"$1,583.09","$1,819.44",$236.35,+14.93%
KHC,1,1,42,"$1,574.41",$988.26,$-586.15,-37.23%
LAC,1,1,68,$442.04,$322.82,$-119.22,-26.97%
