Strategy Summary: Buy Max Each Penguin

Portfolio Totals
Cash,"$180,284.20"
Total Value,"$180,284.20"
Total Buy Count,83
Total Sell Count,0
Total Shares Bought,437
Total Shares Sold,437
Realized PnL,"$80,284.20"
Total PnL,"$80,284.20"
Open Positions,0

Symbol,Buy Count,Sell Count,Shares Bought,Shares Sold,Position Qty,Total Cost,Total Revenue,Realized PnL,Total PnL,PnL %
AAPL,1,1,7,7,0,"$5,326.66","$8,614.31","$3,287.65","$3,287.65",+61.72%
AFRM,1,1,7,7,0,$348.63,$441.22,$92.59,$92.59,+26.56%
AI,1,1,7,7,0,$202.32,$71.54,$-130.78,$-130.78,-64.64%
ALB,1,1,1,1,0,$145.65,$155.06,$9.40,$9.40,+6.45%
AMD,1,1,7,7,0,"$1,033.53","$3,212.00","$2,178.47","$2,178.47",+210.78%
AMZN,1,1,7,7,0,"$21,373.14","$34,360.57","$12,987.43","$12,987.43",+60.77%
BABA,1,1,7,7,0,$537.94,$845.63,$307.69,$307.69,+57.20%
BBAI,1,1,1,1,0,$2.16,$4.18,$2.02,$2.02,+93.55%
BHP,1,1,1,1,0,$68.80,$82.49,$13.69,$13.69,+19.90%
BLUE,1,1,7,7,0,$9.80,$34.93,$25.13,$25.13,+256.39%
C,1,1,7,7,0,$359.91,$924.69,$564.78,$564.78,+156.92%
CAN,1,1,7,7,0,$19.33,$2.53,$-16.80,$-16.80,-86.90%
CHWY,1,1,7,7,0,$165.08,$144.31,$-20.77,$-20.77,-12.58%
COIN,1,1,7,7,0,"$1,309.52","$1,059.85",$-249.67,$-249.67,-19.07%
CVNA,1,1,1,1,0,$53.76,$65.86,$12.10,$12.10,+22.51%
CVX,1,1,7,7,0,"$1,048.00","$1,314.16",$266.15,$266.15,+25.40%
DAL,1,1,1,1,0,$40.29,$79.10,$38.80,$38.80,+96.31%
DIA,1,1,1,1,0,$378.02,$509.00,$130.98,$130.98,+34.65%
DIS,1,1,7,7,0,$633.21,$697.47,$64.25,$64.25,+10.15%
DKNG,1,1,7,7,0,$246.84,$174.52,$-72.32,$-72.32,-29.30%
DNA,1,1,7,7,0,$11.76,$56.49,$44.73,$44.73,+380.31%
EL,1,1,7,7,0,"$1,025.53",$583.31,$-442.22,$-442.22,-43.12%
ENPH,1,1,7,7,0,$932.14,$388.82,$-543.32,$-543.32,-58.29%
FCEL,1,1,7,7,0,$11.20,$118.48,$107.27,$107.27,+957.71%
GILD,1,1,7,7,0,$566.43,$899.50,$333.07,$333.07,+58.80%
