Strategy Summary: Buy One Each Penguin

Portfolio Totals
Cash,"$111,084.54"
Total Value,"$111,084.54"
Total Buy Count,310
Total Sell Count,0
Total Shares Bought,310
Total Shares Sold,310
Realized PnL,"$11,084.54"
Total PnL,"$11,084.54"
Open Positions,0

Symbol,Buy Count,Sell Count,Shares Bought,Shares Sold,Position Qty,Total Cost,Total Revenue,Realized PnL,Total PnL,PnL %
AAPL,1,1,1,1,0,$190.02,$295.69,$105.67,$105.67,+55.61%
ABBV,1,1,1,1,0,$154.99,$224.75,$69.76,$69.76,+45.01%
ABNB,1,1,1,1,0,$135.46,$130.87,$-4.59,$-4.59,-3.39%
ABT,1,1,1,1,0,$110.05,$89.64,$-20.41,$-20.41,-18.54%
ADBE,1,1,1,1,0,$591.36,$206.81,$-384.55,$-384.55,-65.03%
ADM,1,1,1,1,0,$72.03,$79.65,$7.62,$7.62,+10.58%
AEP,1,1,1,1,0,$80.21,$128.10,$47.89,$47.89,+59.71%
AES,1,1,1,1,0,$19.00,$14.69,$-4.31,$-4.31,-22.70%
AFRM,1,1,1,1,0,$49.81,$66.25,$16.44,$16.44,+33.00%
AI,1,1,1,1,0,$29.14,$11.32,$-17.83,$-17.83,-61.17%
ALB,1,1,1,1,0,$145.75,$158.99,$13.24,$13.24,+9.08%
AMAT,1,1,1,1,0,$160.09,$558.03,$397.94,$397.94,+248.58%
AMD,1,1,1,1,0,$147.46,$489.94,$342.47,$342.47,+232.24%
AMGN,1,1,1,1,0,$288.05,$354.50,$66.45,$66.45,+23.07%
AMT,1,1,1,1,0,$215.01,$189.31,$-25.70,$-25.70,-11.95%
AMZN,1,1,1,1,0,$152.67,$242.07,$89.40,$89.40,+58.56%
AON,1,1,1,1,0,$292.89,$335.17,$42.28,$42.28,+14.43%
APA,1,1,1,1,0,$36.25,$36.77,$0.52,$0.52,+1.42%
APD,1,1,1,1,0,$273.66,$279.28,$5.62,$5.62,+2.05%
APP,1,1,1,1,0,$39.75,$480.38,$440.63,$440.63,+1108.38%
ARCT,1,1,1,1,0,$30.73,$6.90,$-23.83,$-23.83,-77.54%
ASML,1,1,1,1,0,$749.07,"$1,919.33","$1,170.26","$1,170.26",+156.23%
AVAV,1,1,1,1,0,$124.60,$183.48,$58.88,$58.88,+47.25%
AVGO,1,1,1,1,0,"$1,099.16",$385.25,$-713.91,$-713.91,-64.95%
AXP,1,1,1,1,0,$187.60,$318.56,$130.95,$130.95,+69.81%
BA,1,1,1,1,0,$260.26,$220.93,$-39.33,$-39.33,-15.11%
BABA,1,1,1,1,0,$76.95,$113.61,$36.67,$36.67,+47.65%
BAC,1,1,1,1,0,$33.71,$55.19,$21.47,$21.47,+63.70%
BALL,1,1,1,1,0,$56.72,$56.34,$-0.38,$-0.38,-0.66%
BBAI,1,1,1,1,0,$2.14,$4.15,$2.01,$2.01,+93.88%
BBY,1,1,1,1,0,$77.73,$76.89,$-0.84,$-0.84,-1.08%
BE,1,1,1,1,0,$14.69,$253.35,$238.66,$238.66,+1624.48%
BEAM,1,1,1,1,0,$26.80,$29.48,$2.68,$2.68,+10.01%
BHP,1,1,1,1,0,$68.74,$88.25,$19.51,$19.51,+28.39%
BILL,1,1,1,1,0,$80.51,$32.25,$-48.26,$-48.26,-59.94%
BK,1,1,1,1,0,$52.06,$137.16,$85.10,$85.10,+163.46%
BKNG,1,1,1,1,0,"$3,523.68","$4,099.75",$576.07,$576.07,+16.35%
BKR,1,1,1,1,0,$34.41,$63.42,$29.01,$29.01,+84.29%
BLDP,1,1,1,1,0,$3.70,$4.11,$0.41,$0.41,+11.07%
BLK,1,1,1,1,0,$806.08,"$1,019.48",$213.40,$213.40,+26.47%
BLUE,1,1,1,1,0,$1.40,$4.99,$3.59,$3.59,+256.39%
BMY,1,1,1,1,0,$51.61,$57.04,$5.44,$5.44,+10.54%
BNTX,1,1,1,1,0,$104.55,$88.08,$-16.48,$-16.48,-15.76%
C,1,1,1,1,0,$51.51,$138.01,$86.50,$86.50,+167.95%
CAN,1,1,1,1,0,$2.73,$0.34,$-2.40,$-2.40,-87.72%
CB,1,1,1,1,0,$226.87,$327.33,$100.46,$100.46,+44.28%
CCI,1,1,1,1,0,$115.01,$92.00,$-23.01,$-23.01,-20.01%
CF,1,1,1,1,0,$79.51,$106.41,$26.91,$26.91,+33.84%
CHRW,1,1,1,1,0,$86.44,$191.11,$104.67,$104.67,+121.08%
CHWY,1,1,1,1,0,$23.60,$18.85,$-4.75,$-4.75,-20.13%
CI,1,1,1,1,0,$301.12,$293.00,$-8.12,$-8.12,-2.70%
CL,1,1,1,1,0,$79.26,$89.00,$9.74,$9.74,+12.29%
CMCSA,1,1,1,1,0,$43.40,$24.02,$-19.39,$-19.39,-44.66%
CME,1,1,1,1,0,$211.63,$262.80,$51.17,$51.17,+24.18%
CMG,1,1,1,1,0,"$2,278.34",$31.20,"$-2,247.14","$-2,247.14",-98.63%
COIN,1,1,1,1,0,$186.71,$161.10,$-25.61,$-25.61,-13.71%
COP,1,1,1,1,0,$117.81,$115.68,$-2.13,$-2.13,-1.81%
COST,1,1,1,1,0,$659.07,$976.00,$316.93,$316.93,+48.09%
CRM,1,1,1,1,0,$261.53,$167.18,$-94.35,$-94.35,-36.08%
CRSP,1,1,1,1,0,$63.26,$50.40,$-12.86,$-12.86,-20.33%
CRWD,1,1,1,1,0,$253.03,$694.95,$441.92,$441.92,+174.66%
CSCO,1,1,1,1,0,$50.57,$122.29,$71.72,$71.72,+141.85%
CSX,1,1,1,1,0,$34.54,$47.40,$12.86,$12.86,+37.22%
CTRA,1,1,1,1,0,$25.90,$32.49,$6.59,$6.59,+25.43%
CVNA,1,1,1,1,0,$53.86,$68.06,$14.21,$14.21,+26.38%
CVX,1,1,1,1,0,$151.01,$185.70,$34.69,$34.69,+22.98%
D,1,1,1,1,0,$47.00,$66.65,$19.65,$19.65,+41.79%
DAL,1,1,1,1,0,$40.29,$81.72,$41.42,$41.42,+102.80%
DD,1,1,1,1,0,$77.01,$46.42,$-30.59,$-30.59,-39.72%
DDOG,1,1,1,1,0,$120.01,$236.73,$116.71,$116.71,+97.25%
DE,1,1,1,1,0,$397.55,$570.99,$173.44,$173.44,+43.63%
DG,1,1,1,1,0,$135.61,$114.10,$-21.51,$-21.51,-15.86%
DHR,1,1,1,1,0,$227.22,$178.58,$-48.64,$-48.64,-21.41%
DIA,1,1,1,1,0,$378.01,$510.27,$132.26,$132.26,+34.99%
DIS,1,1,1,1,0,$90.44,$100.15,$9.71,$9.71,+10.74%
DKNG,1,1,1,1,0,$35.26,$30.02,$-5.24,$-5.24,-14.86%
DLR,1,1,1,1,0,$133.77,$180.00,$46.23,$46.23,+34.56%
DNA,1,1,1,1,0,$1.70,$0.20,$-1.50,$-1.50,-88.10%
DOCU,1,1,1,1,0,$59.00,$44.62,$-14.38,$-14.38,-24.37%
DOW,1,1,1,1,0,$54.99,$33.54,$-21.44,$-21.44,-39.00%
DPZ,1,1,1,1,0,$409.09,$312.14,$-96.95,$-96.95,-23.70%
DUK,1,1,1,1,0,$96.70,$124.31,$27.61,$27.61,+28.55%
DVN,1,1,1,1,0,$45.89,$44.73,$-1.16,$-1.16,-2.54%
EA,1,1,1,1,0,$135.20,$202.90,$67.70,$67.70,+50.07%
ECL,1,1,1,1,0,$196.85,$265.59,$68.74,$68.74,+34.92%
ED,1,1,1,1,0,$90.59,$106.84,$16.25,$16.25,+17.93%
EDIT,1,1,1,1,0,$10.13,$2.49,$-7.64,$-7.64,-75.42%
EL,1,1,1,1,0,$145.02,$86.74,$-58.28,$-58.28,-40.19%
EMR,1,1,1,1,0,$95.76,$142.95,$47.19,$47.19,+49.28%
ENPH,1,1,1,1,0,$133.61,$56.29,$-77.33,$-77.33,-57.87%
EOG,1,1,1,1,0,$122.56,$136.95,$14.39,$14.39,+11.74%
EQIX,1,1,1,1,0,$802.86,"$1,043.18",$240.32,$240.32,+29.93%
ESTC,1,1,1,1,0,$112.71,$60.22,$-52.49,$-52.49,-46.57%
ETSY,1,1,1,1,0,$80.36,$69.44,$-10.92,$-10.92,-13.59%
EXC,1,1,1,1,0,$35.78,$45.47,$9.69,$9.69,+27.07%
EXPD,1,1,1,1,0,$126.47,$166.44,$39.97,$39.97,+31.60%
F,1,1,1,1,0,$12.25,$14.70,$2.45,$2.45,+20.00%
FANG,1,1,1,1,0,$156.22,$194.91,$38.69,$38.69,+24.77%
FAST,1,1,1,1,0,$64.67,$46.42,$-18.25,$-18.25,-28.22%
FCEL,1,1,1,1,0,$1.61,$17.90,$16.29,$16.29,+1011.36%
FCX,1,1,1,1,0,$42.27,$66.58,$24.31,$24.31,+57.50%
FDX,1,1,1,1,0,$251.83,$338.00,$86.17,$86.17,+34.22%
FIS,1,1,1,1,0,$59.75,$38.78,$-20.97,$-20.97,-35.10%
FISV,1,1,1,1,0,$132.10,$53.02,$-79.08,$-79.08,-59.86%
FSLY,1,1,1,1,0,$17.80,$18.89,$1.09,$1.09,+6.14%
GD,1,1,1,1,0,$260.07,$362.29,$102.22,$102.22,+39.31%
GE,1,1,1,1,0,$126.99,$332.58,$205.58,$205.58,+161.89%
GILD,1,1,1,1,0,$80.86,$126.95,$46.09,$46.09,+57.00%
GIS,1,1,1,1,0,$65.15,$33.81,$-31.34,$-31.34,-48.10%
GM,1,1,1,1,0,$36.10,$80.93,$44.83,$44.83,+124.17%
GOOGL,1,1,1,1,0,$139.80,$360.37,$220.56,$220.56,+157.76%
GPN,1,1,1,1,0,$125.69,$65.62,$-60.07,$-60.07,-47.79%
GPS,1,1,1,1,0,$20.86,$24.56,$3.70,$3.70,+17.73%
GREE,1,1,1,1,0,$8.40,$1.42,$-6.98,$-6.98,-83.14%
GS,1,1,1,1,0,$383.05,"$1,036.22",$653.17,$653.17,+170.52%
HAL,1,1,1,1,0,$36.48,$39.67,$3.19,$3.19,+8.74%
HCA,1,1,1,1,0,$268.84,$380.00,$111.16,$111.16,+41.35%
HD,1,1,1,1,0,$345.03,$325.44,$-19.59,$-19.59,-5.68%
HES,1,1,1,1,0,$145.68,$160.31,$14.63,$14.63,+10.04%
HII,1,1,1,1,0,$260.94,$300.95,$40.01,$40.01,+15.33%
HLT,1,1,1,1,0,$181.47,$340.57,$159.10,$159.10,+87.67%
HON,1,1,1,1,0,$209.11,$220.63,$11.52,$11.52,+5.51%
HOOD,1,1,1,1,0,$13.01,$92.93,$79.92,$79.92,+614.22%
HSY,1,1,1,1,0,$186.02,$180.84,$-5.18,$-5.18,-2.78%
HUBS,1,1,1,1,0,$569.86,$188.06,$-381.80,$-381.80,-67.00%
ICE,1,1,1,1,0,$128.01,$138.10,$10.09,$10.09,+7.88%
IFF,1,1,1,1,0,$80.31,$77.51,$-2.80,$-2.80,-3.49%
INTC,1,1,1,1,0,$50.16,$118.21,$68.06,$68.06,+135.69%
INTU,1,1,1,1,0,$617.57,$277.79,$-339.78,$-339.78,-55.02%
ISRG,1,1,1,1,0,$334.03,$413.51,$79.48,$79.48,+23.79%
ITW,1,1,1,1,0,$259.41,$254.45,$-4.96,$-4.96,-1.91%
IWM,1,1,1,1,0,$202.26,$291.34,$89.08,$89.08,+44.04%
JBHT,1,1,1,1,0,$199.32,$289.14,$89.82,$89.82,+45.06%
JD,1,1,1,1,0,$28.22,$28.21,$-0.02,$-0.02,-0.05%
JNJ,1,1,1,1,0,$157.92,$237.94,$80.02,$80.02,+50.68%
JPM,1,1,1,1,0,$170.21,$313.62,$143.41,$143.41,+84.26%
KHC,1,1,1,1,0,$37.00,$24.13,$-12.87,$-12.87,-34.79%
KMB,1,1,1,1,0,$121.47,$101.42,$-20.05,$-20.05,-16.50%
KMI,1,1,1,1,0,$17.72,$31.46,$13.74,$13.74,+77.51%
KO,1,1,1,1,0,$58.97,$82.26,$23.29,$23.29,+39.50%
KR,1,1,1,1,0,$45.60,$64.07,$18.47,$18.47,+40.49%
KSS,1,1,1,1,0,$28.58,$17.33,$-11.26,$-11.26,-39.38%
KTOS,1,1,1,1,0,$20.50,$59.07,$38.56,$38.56,+188.07%
LAC,1,1,1,1,0,$6.50,$4.46,$-2.04,$-2.04,-31.44%
LCID,1,1,1,1,0,$4.25,$5.13,$0.88,$0.88,+20.59%
LI,1,1,1,1,0,$35.91,$13.76,$-22.15,$-22.15,-61.68%
LIN,1,1,1,1,0,$407.84,$516.70,$108.86,$108.86,+26.69%
LLY,1,1,1,1,0,$584.07,"$1,155.48",$571.41,$571.41,+97.83%
LOW,1,1,1,1,0,$220.02,$220.55,$0.53,$0.53,+0.24%
LRCX,1,1,1,1,0,$768.38,$366.31,$-402.06,$-402.06,-52.33%
LSTR,1,1,1,1,0,$191.25,$225.20,$33.95,$33.95,+17.75%
LULU,1,1,1,1,0,$508.04,$121.03,$-387.01,$-387.01,-76.18%
LYB,1,1,1,1,0,$95.08,$63.07,$-32.01,$-32.01,-33.67%
M,1,1,1,1,0,$20.03,$25.01,$4.98,$4.98,+24.85%
MAR,1,1,1,1,0,$225.27,$392.37,$167.10,$167.10,+74.18%
MARA,1,1,1,1,0,$27.28,$13.59,$-13.68,$-13.68,-50.16%
MCHP,1,1,1,1,0,$88.76,$94.47,$5.71,$5.71,+6.44%
MDB,1,1,1,1,0,$402.78,$356.00,$-46.78,$-46.78,-11.61%
MDLZ,1,1,1,1,0,$72.44,$63.15,$-9.29,$-9.29,-12.82%
MDT,1,1,1,1,0,$82.29,$80.50,$-1.79,$-1.79,-2.17%
META,1,1,1,1,0,$354.25,$572.75,$218.51,$218.51,+61.68%
MLM,1,1,1,1,0,$495.40,$565.54,$70.14,$70.14,+14.16%
MMC,1,1,1,1,0,$190.14,$182.70,$-7.44,$-7.44,-3.91%
MNST,1,1,1,1,0,$57.80,$91.25,$33.46,$33.46,+57.89%
MO,1,1,1,1,0,$40.45,$71.79,$31.34,$31.34,+77.46%
MOS,1,1,1,1,0,$35.52,$21.03,$-14.49,$-14.49,-40.80%
MP,1,1,1,1,0,$19.65,$57.40,$37.75,$37.75,+192.08%
MPC,1,1,1,1,0,$149.23,$260.62,$111.39,$111.39,+74.65%
MPWR,1,1,1,1,0,$615.16,"$1,604.64",$989.47,$989.47,+160.85%
MRK,1,1,1,1,0,$108.82,$120.82,$12.00,$12.00,+11.02%
MRNA,1,1,1,1,0,$99.61,$49.40,$-50.20,$-50.20,-50.40%
MS,1,1,1,1,0,$92.32,$212.91,$120.59,$120.59,+130.62%
MSFT,1,1,1,1,0,$376.85,$392.72,$15.87,$15.87,+4.21%
MSTR,1,1,1,1,0,$695.07,"$1,204.51",$509.44,$509.44,+73.29%
MTCH,1,1,1,1,0,$36.05,$34.57,$-1.48,$-1.48,-4.11%
MU,1,1,1,1,0,$85.53,$997.35,$911.82,$911.82,+1066.10%
NEE,1,1,1,1,0,$61.35,$84.84,$23.49,$23.49,+38.30%
NEM,1,1,1,1,0,$41.81,$98.02,$56.21,$56.21,+134.42%
NET,1,1,1,1,0,$82.63,$228.99,$146.36,$146.36,+177.13%
NFLX,1,1,1,1,0,$486.17,$81.62,$-404.55,$-404.55,-83.21%
NIO,1,1,1,1,0,$8.98,$5.26,$-3.72,$-3.72,-41.46%
NKE,1,1,1,1,0,$108.86,$45.57,$-63.29,$-63.29,-58.14%
NOC,1,1,1,1,0,$469.87,$553.00,$83.13,$83.13,+17.69%
NOW,1,1,1,1,0,$699.07,$103.85,$-595.22,$-595.22,-85.14%
NSC,1,1,1,1,0,$234.89,$311.05,$76.16,$76.16,+32.42%
NTLA,1,1,1,1,0,$31.44,$12.41,$-19.04,$-19.04,-60.54%
NU,1,1,1,1,0,$8.32,$12.07,$3.75,$3.75,+45.02%
NUE,1,1,1,1,0,$173.37,$260.00,$86.63,$86.63,+49.97%
NVDA,1,1,1,1,0,$494.88,"$2,059.37","$1,564.49","$1,564.49",+316.14%
NVO,1,1,1,1,0,$102.99,$43.90,$-59.09,$-59.09,-57.37%
NXPI,1,1,1,1,0,$226.43,$301.90,$75.47,$75.47,+33.33%
O,1,1,1,1,0,$57.58,$61.83,$4.26,$4.26,+7.40%
ODFL,1,1,1,1,0,$404.38,$247.76,$-156.62,$-156.62,-38.73%
OKE,1,1,1,1,0,$70.69,$89.20,$18.51,$18.51,+26.19%
OKTA,1,1,1,1,0,$89.51,$119.00,$29.49,$29.49,+32.95%
ON,1,1,1,1,0,$83.26,$116.62,$33.36,$33.36,+40.07%
OPEN,1,1,1,1,0,$4.52,$4.51,$-0.01,$-0.01,-0.29%
ORA,1,1,1,1,0,$76.33,$136.41,$60.08,$60.08,+78.72%
ORCL,1,1,1,1,0,$105.51,$184.33,$78.82,$78.82,+74.71%
OTIS,1,1,1,1,0,$88.45,$70.18,$-18.27,$-18.27,-20.65%
OXY,1,1,1,1,0,$60.21,$55.43,$-4.78,$-4.78,-7.94%
PATH,1,1,1,1,0,$25.10,$10.68,$-14.42,$-14.42,-57.45%
PDD,1,1,1,1,0,$145.02,$81.32,$-63.71,$-63.71,-43.93%
PEG,1,1,1,1,0,$60.76,$78.78,$18.02,$18.02,+29.66%
PENN,1,1,1,1,0,$25.90,$21.20,$-4.70,$-4.70,-18.15%
PEP,1,1,1,1,0,$169.12,$143.30,$-25.82,$-25.82,-15.27%
PFE,1,1,1,1,0,$28.95,$26.13,$-2.83,$-2.83,-9.77%
PG,1,1,1,1,0,$146.36,$148.12,$1.76,$1.76,+1.20%
PGR,1,1,1,1,0,$159.30,$198.43,$39.13,$39.13,+24.57%
PH,1,1,1,1,0,$465.05,$903.84,$438.79,$438.79,+94.35%
PINS,1,1,1,1,0,$37.05,$21.39,$-15.66,$-15.66,-42.27%
PKG,1,1,1,1,0,$163.84,$224.40,$60.56,$60.56,+36.96%
PLD,1,1,1,1,0,$133.31,$145.83,$12.52,$12.52,+9.39%
PLTR,1,1,1,1,0,$17.30,$131.66,$114.36,$114.36,+660.98%
PLUG,1,1,1,1,0,$4.57,$2.86,$-1.71,$-1.71,-37.52%
PM,1,1,1,1,0,$93.79,$181.35,$87.56,$87.56,+93.36%
PNC,1,1,1,1,0,$153.88,$234.02,$80.14,$80.14,+52.08%
PPG,1,1,1,1,0,$147.58,$118.20,$-29.38,$-29.38,-19.91%
PSA,1,1,1,1,0,$304.42,$324.71,$20.29,$20.29,+6.66%
PSX,1,1,1,1,0,$134.01,$178.00,$43.99,$43.99,+32.82%
PYPL,1,1,1,1,0,$61.85,$41.21,$-20.64,$-20.64,-33.37%
QCOM,1,1,1,1,0,$144.84,$203.58,$58.74,$58.74,+40.55%
QQQ,1,1,1,1,0,$409.79,$719.33,$309.54,$309.54,+75.54%
QRVO,1,1,1,1,0,$110.62,$97.66,$-12.96,$-12.96,-11.72%
RBLX,1,1,1,1,0,$45.40,$43.42,$-1.98,$-1.98,-4.37%
RDFN,1,1,1,1,0,$10.39,$11.30,$0.91,$0.91,+8.74%
REGN,1,1,1,1,0,$871.05,$609.00,$-262.05,$-262.05,-30.08%
RIO,1,1,1,1,0,$73.89,$103.50,$29.61,$29.61,+40.08%
RIOT,1,1,1,1,0,$17.15,$26.10,$8.95,$8.95,+52.15%
RIVN,1,1,1,1,0,$23.54,$15.57,$-7.97,$-7.97,-33.87%
RKLB,1,1,1,1,0,$5.52,$121.13,$115.60,$115.60,+2094.08%
ROK,1,1,1,1,0,$308.05,$454.95,$146.90,$146.90,+47.69%
ROKU,1,1,1,1,0,$91.97,$119.03,$27.06,$27.06,+29.42%
ROST,1,1,1,1,0,$137.80,$240.00,$102.20,$102.20,+74.16%
RSG,1,1,1,1,0,$164.33,$208.87,$44.53,$44.53,+27.10%
RSI,1,1,1,1,0,$4.40,$29.31,$24.91,$24.91,+566.07%
RTX,1,1,1,1,0,$83.93,$182.99,$99.06,$99.06,+118.03%
RUN,1,1,1,1,0,$19.70,$12.57,$-7.14,$-7.14,-36.22%
SBUX,1,1,1,1,0,$95.71,$102.35,$6.64,$6.64,+6.94%
SCHW,1,1,1,1,0,$68.76,$88.76,$20.00,$20.00,+29.09%
SEDG,1,1,1,1,0,$94.51,$58.90,$-35.61,$-35.61,-37.68%
SHOP,1,1,1,1,0,$78.13,$110.61,$32.49,$32.49,+41.58%
SHW,1,1,1,1,0,$306.69,$316.89,$10.20,$10.20,+3.33%
SLB,1,1,1,1,0,$52.85,$56.16,$3.31,$3.31,+6.27%
SNAP,1,1,1,1,0,$16.87,$5.34,$-11.53,$-11.53,-68.35%
SNOW,1,1,1,1,0,$199.62,$241.77,$42.15,$42.15,+21.12%
SO,1,1,1,1,0,$69.65,$92.59,$22.94,$22.94,+32.94%
SOFI,1,1,1,1,0,$10.01,$16.64,$6.63,$6.63,+66.25%
SOUN,1,1,1,1,0,$2.13,$7.11,$4.98,$4.98,+233.57%
SPCE,1,1,1,1,0,$2.46,$6.49,$4.03,$4.03,+163.95%
SPG,1,1,1,1,0,$141.41,$213.25,$71.83,$71.83,+50.80%
SPGI,1,1,1,1,0,$440.56,$415.19,$-25.37,$-25.37,-5.76%
SPLK,1,1,1,1,0,$152.02,$156.92,$4.90,$4.90,+3.23%
SPY,1,1,1,1,0,$476.34,$739.47,$263.14,$263.14,+55.24%
SQ,1,1,1,1,0,$78.31,$87.17,$8.86,$8.86,+11.32%
SQM,1,1,1,1,0,$60.21,$80.43,$20.22,$20.22,+33.59%
