Strategy Summary: CopilotPenguin

Portfolio Totals
Cash,"$99,973.39"
Total Value,"$99,973.39"
Total Buy Count,309
Total Sell Count,297
Total Shares Bought,309
Total Shares Sold,309
Realized PnL,$-26.61
Total PnL,$-26.61
Open Positions,0

Symbol,Buy Count,Sell Count,Shares Bought,Shares Sold,Position Qty,Total Cost,Total Revenue,Realized PnL,Total PnL,PnL %
AAPL,1,1,1,1,0,"$1,199.62","$1,230.62",$30.99,$30.99,+2.58%
ABNB,1,1,1,1,0,$135.20,$133.83,$-1.37,$-1.37,-1.01%
ADM,1,1,1,1,0,$72.03,$71.30,$-0.73,$-0.73,-1.01%
AEP,1,1,1,1,0,$80.21,$79.30,$-0.90,$-0.90,-1.12%
AES,1,1,1,1,0,$19.22,$18.68,$-0.54,$-0.54,-2.81%
AFRM,2,2,2,2,0,$98.33,$97.54,$-0.79,$-0.79,-0.80%
AI,1,1,1,1,0,$29.00,$29.05,$0.05,$0.05,+0.18%
ALB,1,1,1,1,0,$144.08,$142.41,$-1.67,$-1.67,-1.16%
AMAT,1,1,1,1,0,$158.65,$156.53,$-2.12,$-2.12,-1.34%
AMD,1,1,1,1,0,$420.19,$406.75,$-13.44,$-13.44,-3.20%
AMGN,1,1,1,1,0,$288.04,$284.84,$-3.19,$-3.19,-1.11%
AMT,1,1,1,1,0,$217.11,$211.09,$-6.02,$-6.02,-2.77%
AMZN,2,2,2,2,0,"$6,077.38","$6,047.99",$-29.39,$-29.39,-0.48%
APA,1,1,1,1,0,$36.25,$35.84,$-0.41,$-0.41,-1.13%
APD,1,1,1,1,0,$273.62,$270.57,$-3.06,$-3.06,-1.12%
ARCT,1,1,1,1,0,$32.50,$31.49,$-1.01,$-1.01,-3.10%
AVAV,1,1,1,1,0,$126.07,$122.39,$-3.67,$-3.67,-2.91%
AVGO,1,1,1,1,0,"$1,099.11","$1,086.04",$-13.07,$-13.07,-1.19%
AXP,1,1,1,1,0,$185.12,$182.67,$-2.45,$-2.45,-1.33%
BA,1,1,1,1,0,$259.11,$256.47,$-2.65,$-2.65,-1.02%
BABA,2,2,2,2,0,$153.01,$152.06,$-0.94,$-0.94,-0.62%
BBAI,1,1,1,1,0,$2.14,$2.08,$-0.06,$-0.06,-2.84%
BBY,1,1,1,1,0,$78.68,$76.41,$-2.27,$-2.27,-2.88%
BE,1,1,1,1,0,$14.62,$14.36,$-0.26,$-0.26,-1.81%
BEAM,1,1,1,1,0,$26.81,$26.19,$-0.61,$-0.61,-2.28%
BHP,1,1,1,1,0,$68.42,$68.14,$-0.29,$-0.29,-0.42%
BILL,1,1,1,1,0,$80.51,$78.94,$-1.57,$-1.57,-1.95%
BK,1,1,1,1,0,$52.06,$137.16,$85.10,$85.10,+163.47%
BKNG,1,1,1,1,0,"$3,499.50","$3,434.78",$-64.72,$-64.72,-1.85%
BKR,1,1,1,1,0,$34.41,$33.92,$-0.50,$-0.50,-1.44%
BLDP,1,1,1,1,0,$3.76,$3.62,$-0.14,$-0.14,-3.77%
BLK,1,1,1,1,0,$798.77,$783.38,$-15.39,$-15.39,-1.93%
BLUE,1,1,1,1,0,$1.40,$1.37,$-0.03,$-0.03,-2.18%
BMY,1,1,1,1,0,$51.41,$50.54,$-0.87,$-0.87,-1.69%
BNTX,1,1,1,1,0,$104.55,$101.73,$-2.82,$-2.82,-2.70%
C,1,1,1,1,0,$51.50,$50.53,$-0.98,$-0.98,-1.90%
CAN,2,2,2,2,0,$5.19,$5.06,$-0.13,$-0.13,-2.45%
CAT,1,1,1,1,0,$292.14,$286.08,$-6.06,$-6.06,-2.08%
CB,1,1,1,1,0,$227.33,$224.46,$-2.87,$-2.87,-1.26%
CCI,1,1,1,1,0,$114.52,$113.10,$-1.42,$-1.42,-1.24%
CF,1,1,1,1,0,$79.50,$78.69,$-0.81,$-0.81,-1.02%
CHRW,1,1,1,1,0,$87.02,$85.79,$-1.22,$-1.22,-1.41%
CHWY,1,1,1,1,0,$23.70,$23.33,$-0.37,$-0.37,-1.58%
CI,1,1,1,1,0,$303.40,$292.90,$-10.50,$-10.50,-3.46%
CL,1,1,1,1,0,$80.25,$78.65,$-1.59,$-1.59,-1.98%
CMCSA,1,1,1,1,0,$43.40,$42.57,$-0.84,$-0.84,-1.93%
CME,1,1,1,1,0,$210.19,$207.21,$-2.99,$-2.99,-1.42%
CMG,1,1,1,1,0,"$2,271.88","$2,239.99",$-31.89,$-31.89,-1.40%
COIN,1,1,1,1,0,$184.46,$184.95,$0.49,$0.49,+0.26%
COP,1,1,1,1,0,$117.14,$114.99,$-2.15,$-2.15,-1.84%
