Strategy Summary: RSI Mean Reversion Selective

Portfolio Totals
Cash,"$14,396.08"
Market Value,$0.00
Total Value,"$14,396.08"
Total Buy Count,97
Total Sell Count,97
Total PnL,"$4,396.08"

Symbol,Buy Count,Sell Count,Shares Bought,Total Cost,Total Revenue,Total PnL,PnL %
AAPL,1,1,1,$734.84,"$1,170.25",$435.41,+59.25%
ABNB,1,1,1,$135.54,$137.26,$1.72,+1.27%
ADM,1,1,1,$73.01,$79.70,$6.69,+9.16%
AES,1,1,1,$17.26,$14.29,$-2.97,-17.20%
AFRM,1,1,1,$43.58,$66.10,$22.52,+51.67%
AI,1,1,1,$28.82,$9.47,$-19.35,-67.15%
APA,1,1,1,$32.61,$36.81,$4.20,+12.88%
BABA,1,1,1,$72.21,$138.47,$66.26,+91.76%
BBAI,1,1,1,$1.92,$4.29,$2.37,+123.15%
BE,1,1,1,$13.87,$287.44,$273.57,+1971.99%
BHP,1,1,1,$65.13,$87.95,$22.83,+35.05%
BILL,1,1,1,$77.36,$41.30,$-36.06,-46.61%
BLDP,1,1,1,$3.59,$4.26,$0.67,+18.65%
BLUE,1,1,1,$1.45,$4.99,$3.54,+244.07%
C,1,1,1,$52.94,$126.00,$73.07,+138.03%
CAN,1,1,1,$2.55,$0.50,$-2.05,-80.39%
CF,1,1,1,$81.16,$122.40,$41.25,+50.82%
CHWY,1,1,1,$20.65,$22.55,$1.90,+9.18%
COIN,1,1,1,$154.07,$215.07,$61.00,+39.59%
CRSP,1,1,1,$60.76,$54.80,$-5.96,-9.81%
CRWD,1,1,1,$277.06,$541.76,$264.71,+95.54%
CSX,1,1,1,$34.17,$44.88,$10.72,+31.37%
CVNA,1,1,1,$41.67,$76.34,$34.67,+83.18%
CVX,1,1,1,$150.51,$184.72,$34.22,+22.73%
DAL,1,1,1,$40.16,$71.35,$31.19,+77.66%
DKNG,1,1,1,$33.50,$24.50,$-9.00,-26.87%
DNA,1,1,1,$1.55,$8.64,$7.09,+457.18%
DOW,1,1,1,$55.06,$38.45,$-16.61,-30.17%
DVN,1,1,1,$45.01,$46.87,$1.86,+4.13%
