Strategy Summary: RSIMeanReversionMomentumPenguin

Portfolio Totals
Cash,"$15,388.82"
Market Value,$0.00
Total Value,"$15,388.82"
Total Buy Count,127526
Total Sell Count,58532
Total PnL,"$5,388.82"

Symbol,Buy Count,Sell Count,Shares Bought,Total Cost,Total Revenue,Total PnL,PnL %
AAPL,557,311,557,"$144,614.84","$144,600.08",$-14.76,-0.01%
ABBV,345,185,345,"$75,814.77","$75,839.66",$24.89,+0.03%
ABNB,388,224,388,"$50,097.99","$50,187.00",$89.01,+0.18%
ABT,549,266,549,"$60,484.76","$60,565.95",$81.19,+0.13%
ADBE,425,273,425,"$114,101.01","$114,093.13",$-7.88,-0.01%
ADM,476,239,476,"$32,572.59","$32,608.27",$35.68,+0.11%
AEP,268,161,268,"$33,660.18","$33,693.48",$33.30,+0.10%
AFRM,1090,484,1090,"$61,735.10","$61,750.05",$14.95,+0.02%
AI,2171,642,2171,"$22,635.65","$22,654.84",$19.20,+0.08%
ALB,466,257,466,"$79,420.63","$79,567.21",$146.59,+0.18%
AMAT,244,185,244,"$82,719.43","$82,952.09",$232.66,+0.28%
AMD,429,258,429,"$91,471.99","$91,473.54",$1.55,+0.00%
AMGN,159,122,159,"$56,352.74","$56,455.05",$102.32,+0.18%
AMT,254,149,254,"$45,414.26","$45,432.90",$18.64,+0.04%
AMZN,397,259,397,"$86,916.29","$86,894.37",$-21.92,-0.03%
AON,170,97,170,"$55,944.14","$55,892.66",$-51.49,-0.09%
APA,1024,440,1024,"$34,202.10","$34,251.91",$49.81,+0.15%
APD,140,96,140,"$39,139.13","$39,212.57",$73.43,+0.19%
ASML,44,37,44,"$59,611.99","$59,761.52",$149.53,+0.25%
AVGO,320,212,320,"$105,449.71","$105,421.57",$-28.14,-0.03%
AXP,175,132,175,"$55,932.47","$56,013.32",$80.85,+0.14%
BA,468,306,468,"$105,654.42","$105,707.00",$52.58,+0.05%
BAC,1118,494,1118,"$57,866.01","$57,832.69",$-33.32,-0.06%
BALL,334,169,334,"$20,155.50","$20,176.46",$20.96,+0.10%
BK,188,122,188,"$22,493.10","$22,535.73",$42.63,+0.19%
BKNG,36,22,36,"$10,430.59","$10,456.56",$25.97,+0.25%
BKR,677,320,677,"$39,422.21","$39,495.35",$73.14,+0.19%
BLK,66,50,66,"$65,846.67","$65,909.72",$63.05,+0.10%
BMY,867,373,867,"$50,416.66","$50,450.21",$33.55,+0.07%
C,494,300,494,"$56,514.13","$56,579.62",$65.49,+0.12%
CAT,103,84,103,"$71,999.83","$71,981.48",$-18.35,-0.03%
CB,188,118,188,"$60,596.36","$60,632.20",$35.84,+0.06%
CCI,392,171,392,"$33,552.28","$33,516.93",$-35.35,-0.11%
CF,772,289,772,"$89,945.34","$90,082.57",$137.23,+0.15%
CHRW,313,147,313,"$55,448.39","$55,425.38",$-23.01,-0.04%
CI,191,111,191,"$52,434.99","$52,549.07",$114.08,+0.22%
CL,423,212,423,"$37,286.91","$37,297.64",$10.73,+0.03%
CMCSA,1402,511,1402,"$41,454.82","$41,487.12",$32.30,+0.08%
CME,290,152,290,"$86,906.08","$86,937.49",$31.41,+0.04%
CMG,1160,479,1160,"$42,594.97","$42,613.45",$18.48,+0.04%
COIN,709,367,709,"$136,615.85","$136,614.37",$-1.48,-0.00%
COP,728,356,728,"$84,642.33","$84,747.11",$104.77,+0.12%
COST,73,63,73,"$71,695.14","$71,769.56",$74.42,+0.10%
CRM,476,294,476,"$95,320.65","$95,351.11",$30.46,+0.03%
CRWD,364,238,364,"$151,010.54","$150,861.78",$-148.76,-0.10%
CSCO,852,411,852,"$66,743.11","$66,760.40",$17.29,+0.03%
CSX,755,300,755,"$29,437.62","$29,451.87",$14.25,+0.05%
CTRA,908,391,908,"$27,520.18","$27,563.71",$43.53,+0.16%
CVX,832,392,832,"$156,379.29","$156,367.47",$-11.82,-0.01%
D,461,225,461,"$28,410.06","$28,420.53",$10.47,+0.04%
DAL,881,449,881,"$58,908.13","$58,977.90",$69.77,+0.12%
DD,498,231,498,"$22,862.48","$22,887.39",$24.91,+0.11%
DDOG,661,330,661,"$80,563.73","$80,596.81",$33.08,+0.04%
DE,92,72,92,"$52,998.24","$53,017.51",$19.27,+0.04%
DG,371,180,371,"$51,488.45","$51,479.70",$-8.76,-0.02%
DHR,203,123,203,"$42,369.47","$42,407.27",$37.80,+0.09%
DIA,108,97,108,"$52,066.54","$52,061.76",$-4.78,-0.01%
DIS,584,351,584,"$61,145.74","$61,152.86",$7.12,+0.01%
DLR,217,124,217,"$37,660.68","$37,705.52",$44.84,+0.12%
DOW,1243,500,1243,"$40,773.98","$40,830.08",$56.11,+0.14%
DPZ,179,108,179,"$69,406.20","$69,370.02",$-36.18,-0.05%
DUK,371,194,371,"$46,694.49","$46,724.01",$29.52,+0.06%
DVN,1245,526,1245,"$54,894.26","$54,936.78",$42.52,+0.08%
EA,274,138,274,"$55,337.89","$55,313.03",$-24.86,-0.04%
EBAY,464,204,464,"$41,573.44","$41,582.98",$9.54,+0.02%
ECL,145,92,145,"$40,239.53","$40,211.74",$-27.79,-0.07%
ED,282,125,282,"$30,983.82","$31,006.66",$22.84,+0.07%
EL,533,245,533,"$50,965.69","$50,880.76",$-84.93,-0.17%
EMR,242,160,242,"$34,542.46","$34,593.61",$51.15,+0.15%
EOG,493,228,493,"$62,975.22","$62,962.58",$-12.64,-0.02%
EQIX,46,38,46,"$42,947.52","$43,048.46",$100.94,+0.24%
ETN,178,131,178,"$63,321.61","$63,423.74",$102.12,+0.16%
ETSY,698,274,698,"$37,766.49","$37,774.67",$8.19,+0.02%
EXC,546,265,546,"$25,382.41","$25,411.83",$29.42,+0.12%
EXPD,214,125,214,"$32,224.83","$32,164.52",$-60.31,-0.19%
F,2195,662,2195,"$28,732.31","$28,739.32",$7.01,+0.02%
FANG,388,195,388,"$69,664.06","$69,792.63",$128.57,+0.18%
FAST,614,247,614,"$27,578.53","$27,595.10",$16.57,+0.06%
FCX,1383,569,1383,"$82,960.34","$83,051.81",$91.46,+0.11%
FDX,117,81,117,"$41,733.01","$41,776.66",$43.65,+0.10%
GD,122,88,122,"$43,208.51","$43,240.14",$31.63,+0.07%
GE,316,209,316,"$97,249.74","$97,338.18",$88.43,+0.09%
GILD,357,213,357,"$49,964.97","$49,991.79",$26.82,+0.05%
GIS,1085,447,1085,"$45,597.56","$45,603.97",$6.41,+0.01%
GM,673,323,673,"$53,402.82","$53,429.56",$26.73,+0.05%
GOOGL,403,256,403,"$125,360.40","$125,406.85",$46.45,+0.04%
GS,64,55,64,"$55,380.85","$55,364.08",$-16.77,-0.03%
HAL,1208,519,1208,"$42,257.84","$42,329.07",$71.23,+0.17%
HCA,127,78,127,"$63,854.15","$63,942.85",$88.70,+0.14%
HD,222,164,222,"$78,942.06","$78,941.66",$-0.39,-0.00%
HLT,136,86,136,"$41,430.88","$41,481.10",$50.23,+0.12%
HON,193,135,193,"$43,995.22","$44,046.09",$50.88,+0.12%
HOOD,1033,440,1033,"$86,561.78","$86,512.20",$-49.58,-0.06%
HSY,250,115,250,"$53,046.66","$53,064.89",$18.23,+0.03%
ICE,280,136,280,"$45,333.56","$45,340.84",$7.28,+0.02%
IFF,361,166,361,"$26,299.67","$26,304.77",$5.10,+0.02%
INTC,1706,544,1706,"$78,849.42","$78,904.98",$55.56,+0.07%
INTU,231,160,231,"$101,363.98","$101,349.49",$-14.49,-0.01%
ISRG,129,92,129,"$63,176.86","$63,157.20",$-19.66,-0.03%
ITW,86,63,86,"$23,341.21","$23,349.36",$8.15,+0.03%
IWM,353,241,353,"$90,848.12","$90,835.72",$-12.39,-0.01%
JBHT,164,105,164,"$34,704.87","$34,697.86",$-7.01,-0.02%
JNJ,381,211,381,"$89,255.35","$89,314.88",$59.53,+0.07%
JPM,353,248,353,"$106,935.56","$106,991.25",$55.69,+0.05%
KHC,1502,587,1502,"$35,081.75","$35,108.20",$26.44,+0.08%
KLAC,25,22,25,"$36,627.47","$36,626.80",$-0.67,-0.00%
KMB,481,259,481,"$48,696.63","$48,713.04",$16.41,+0.03%
KMI,1020,428,1020,"$31,945.08","$31,970.52",$25.44,+0.08%
KO,995,465,995,"$74,950.82","$74,961.72",$10.90,+0.01%
KR,615,249,615,"$42,025.56","$42,015.13",$-10.42,-0.02%
LIN,140,98,140,"$66,941.43","$66,950.05",$8.63,+0.01%
LLY,106,76,106,"$103,894.63","$103,938.73",$44.10,+0.04%
LMT,168,127,168,"$105,183.10","$105,274.99",$91.89,+0.09%
LOW,120,92,120,"$30,724.84","$30,759.30",$34.47,+0.11%
LRCX,475,299,475,"$106,600.30","$106,631.55",$31.25,+0.03%
LSTR,212,130,212,"$32,545.38","$32,570.44",$25.05,+0.08%
LULU,413,233,413,"$72,037.35","$72,006.64",$-30.71,-0.04%
LYB,698,336,698,"$44,411.45","$44,486.03",$74.58,+0.17%
LYFT,2114,627,2114,"$32,184.73","$32,179.38",$-5.36,-0.02%
MAR,113,78,113,"$37,295.25","$37,321.43",$26.18,+0.07%
MCD,265,184,265,"$84,199.43","$84,226.93",$27.50,+0.03%
MCHP,576,282,576,"$41,004.09","$41,108.49",$104.40,+0.25%
MDLZ,631,279,631,"$36,312.19","$36,316.19",$4.00,+0.01%
MDT,474,234,474,"$45,191.86","$45,199.87",$8.01,+0.02%
META,167,115,167,"$105,336.15","$105,317.53",$-18.62,-0.02%
MLM,55,40,55,"$34,245.44","$34,301.06",$55.61,+0.16%
MMC,23,14,23,"$4,233.16","$4,230.89",$-2.28,-0.05%
MNST,466,237,466,"$36,593.60","$36,606.77",$13.17,+0.04%
MO,932,436,932,"$59,624.95","$59,652.74",$27.80,+0.05%
MOS,1461,523,1461,"$39,573.87","$39,596.62",$22.75,+0.06%
MPC,352,172,352,"$74,964.69","$75,044.50",$79.80,+0.11%
MPWR,34,31,34,"$37,018.57","$36,972.36",$-46.21,-0.12%
MRK,539,290,539,"$62,107.01","$62,145.65",$38.65,+0.06%
MS,229,165,229,"$39,314.55","$39,350.22",$35.67,+0.09%
MSFT,318,202,318,"$129,639.07","$129,605.89",$-33.18,-0.03%
MTCH,653,262,653,"$20,338.99","$20,362.00",$23.00,+0.11%
MU,327,200,327,"$126,839.69","$126,722.65",$-117.05,-0.09%
NEE,616,313,616,"$54,766.78","$54,795.94",$29.16,+0.05%
NEM,1022,474,1022,"$116,516.72","$116,544.05",$27.33,+0.02%
NET,466,266,466,"$90,052.23","$90,178.14",$125.92,+0.14%
NFLX,1093,413,1093,"$96,648.10","$96,639.38",$-8.72,-0.01%
NKE,1275,543,1275,"$74,585.22","$74,513.32",$-71.90,-0.10%
NOC,92,67,92,"$64,170.06","$64,106.48",$-63.58,-0.10%
NOW,814,404,814,"$93,477.53","$93,549.01",$71.49,+0.08%
NSC,139,87,139,"$40,781.09","$40,820.95",$39.86,+0.10%
NUE,260,151,260,"$44,707.75","$44,767.11",$59.36,+0.13%
NVDA,736,347,736,"$134,933.77","$134,913.73",$-20.04,-0.01%
NXPI,178,112,178,"$38,773.27","$38,796.39",$23.12,+0.06%
O,802,391,802,"$50,094.97","$50,098.35",$3.38,+0.01%
ODFL,170,112,170,"$32,214.02","$32,289.10",$75.08,+0.23%
OKE,461,243,461,"$38,678.08","$38,730.26",$52.18,+0.13%
OKTA,689,289,689,"$55,889.81","$55,878.20",$-11.61,-0.02%
ON,683,346,683,"$42,917.42","$43,019.48",$102.06,+0.24%
ORCL,636,332,636,"$101,292.74","$101,339.79",$47.06,+0.05%
