Strategy Summary: SMA20Penguin

Portfolio Totals
Cash,"$6,384.33"
Market Value,$0.00
Total Value,"$6,384.33"
Total Buy Count,22400
Total Sell Count,22400
Total PnL,"$-3,615.67"

Symbol,Buy Count,Sell Count,Shares Bought,Total Cost,Total Revenue,Total PnL,PnL %
AAPL,72,72,72,"$18,775.69","$18,750.02",$-25.67,-0.14%
ABBV,56,56,56,"$12,436.34","$12,428.59",$-7.75,-0.06%
ABNB,77,77,77,"$9,870.40","$9,872.96",$2.56,+0.03%
ABT,43,43,43,"$4,742.49","$4,734.19",$-8.30,-0.17%
ADBE,117,117,117,"$31,648.09","$31,600.27",$-47.82,-0.15%
ADM,86,86,86,"$5,881.26","$5,880.70",$-0.56,-0.01%
AEP,31,31,31,"$3,851.36","$3,857.66",$6.29,+0.16%
AFRM,294,294,294,"$16,656.75","$16,622.35",$-34.39,-0.21%
AI,316,316,316,"$3,230.89","$3,225.67",$-5.22,-0.16%
ALB,227,227,227,"$38,810.65","$38,779.26",$-31.39,-0.08%
AMAT,177,177,177,"$60,065.58","$60,074.27",$8.69,+0.01%
AMD,190,190,190,"$40,216.94","$40,178.22",$-38.72,-0.10%
AMGN,51,51,51,"$18,290.54","$18,266.99",$-23.55,-0.13%
AMT,47,47,47,"$8,450.29","$8,441.38",$-8.91,-0.11%
AMZN,118,118,118,"$25,948.73","$25,913.19",$-35.54,-0.14%
AON,51,51,51,"$16,824.78","$16,827.53",$2.75,+0.02%
APA,197,197,197,"$6,295.67","$6,290.29",$-5.38,-0.09%
APD,45,45,45,"$12,528.28","$12,510.08",$-18.20,-0.15%
ASML,137,137,137,"$186,163.24","$185,926.71",$-236.53,-0.13%
AVGO,183,183,183,"$59,974.97","$59,959.77",$-15.20,-0.03%
AXP,75,75,75,"$24,959.09","$24,940.44",$-18.65,-0.07%
BA,90,90,90,"$19,814.97","$19,798.48",$-16.49,-0.08%
BAC,82,82,82,"$4,213.22","$4,211.63",$-1.59,-0.04%
