Strategy Summary: Smart RSI Confluence

Portfolio Totals
Cash,"$107,416.55"
Market Value,$0.00
Total Value,"$107,416.55"
Total Buy Count,196
Total Sell Count,196
Total Shares Bought,390
Total Shares Sold,390
Realized PnL,"$7,416.55"
Unrealized PnL,$0.00
Total PnL,"$7,416.55"
Open Positions,0

Symbol,Buy Count,Sell Count,Shares Bought,Shares Sold,Position Qty,Total Cost,Total Revenue,Realized PnL,Unrealized PnL,Total PnL,PnL %
ADM,1,1,2,2,0,$134.83,$160.12,$25.29,$0.00,$25.29,+18.76%
AEP,1,1,2,2,0,$241.21,$255.36,$14.15,$0.00,$14.15,+5.87%
AFRM,1,1,2,2,0,$166.05,$146.55,$-19.50,$0.00,$-19.50,-11.75%
AI,1,1,2,2,0,$27.33,$20.46,$-6.87,$0.00,$-6.87,-25.12%
ALB,1,1,2,2,0,$291.74,$354.60,$62.86,$0.00,$62.86,+21.55%
AMAT,1,1,2,2,0,$545.17,$904.84,$359.67,$0.00,$359.67,+65.97%
AMZN,1,1,2,2,0,"$9,709.14","$10,918.16","$1,209.02",$0.00,"$1,209.02",+12.45%
APA,1,1,2,2,0,$51.85,$72.96,$21.11,$0.00,$21.11,+40.71%
ARCT,1,1,2,2,0,$13.09,$15.84,$2.75,$0.00,$2.75,+21.05%
AVAV,1,1,2,2,0,$688.14,$443.69,$-244.45,$0.00,$-244.45,-35.52%
AVGO,1,1,2,2,0,$701.94,$862.29,$160.35,$0.00,$160.35,+22.84%
BA,1,1,2,2,0,$482.54,$457.54,$-24.99,$0.00,$-24.99,-5.18%
BABA,1,1,2,2,0,$305.20,$252.32,$-52.88,$0.00,$-52.88,-17.33%
BALL,1,1,2,2,0,$110.92,$112.48,$1.56,$0.00,$1.56,+1.40%
BBAI,1,1,2,2,0,$11.34,$10.12,$-1.23,$0.00,$-1.23,-10.81%
BE,1,1,2,2,0,$180.51,$569.75,$389.23,$0.00,$389.23,+215.62%
BEAM,1,1,2,2,0,$58.01,$65.05,$7.04,$0.00,$7.04,+12.14%
BILL,1,1,1,1,0,$48.22,$34.88,$-13.34,$0.00,$-13.34,-27.67%
BK,1,1,2,2,0,$241.85,$274.32,$32.47,$0.00,$32.47,+13.43%
BLDP,1,1,2,2,0,$5.14,$12.32,$7.18,$0.00,$7.18,+139.68%
BLK,1,1,2,2,0,"$2,158.43","$2,092.98",$-65.45,$0.00,$-65.45,-3.03%
