Strategy Summary: ThreeFold_MeanReversion_TrendPenguin

Portfolio Totals
Cash,"$185,920.40"
Total Value,"$185,920.40"
Total Buy Count,116508
Total Sell Count,116254
Total Shares Bought,5456139
Total Shares Sold,5456139
Realized PnL,"$85,920.40"
Total PnL,"$85,920.40"
Open Positions,0

Symbol,Buy Count,Sell Count,Shares Bought,Shares Sold,Position Qty,Total Cost,Total Revenue,Realized PnL,Total PnL,PnL %
AAPL,2,2,2,2,0,"$2,439.11","$2,485.82",$46.71,$46.71,+1.91%
ABNB,449,449,1936,1936,0,"$258,053.55","$258,171.04",$117.49,$117.49,+0.05%
ADM,353,353,2577,2577,0,"$147,247.62","$147,542.36",$294.74,$294.74,+0.20%
AEP,285,285,880,880,0,"$91,534.69","$91,650.83",$116.15,$116.15,+0.13%
AES,642,642,31979,31979,0,"$426,496.96","$426,476.80",$-20.16,$-20.16,-0.00%
AFRM,604,604,8531,8531,0,"$434,850.26","$435,248.06",$397.80,$397.80,+0.09%
AI,688,688,28456,28456,0,"$484,366.35","$483,395.40",$-970.95,$-970.95,-0.20%
ALB,455,455,2832,2832,0,"$277,074.88","$277,925.60",$850.72,$850.72,+0.31%
AMAT,503,503,1610,1610,0,"$321,799.11","$322,620.32",$821.21,$821.21,+0.26%
AMD,8,8,9,9,0,"$4,098.09","$4,090.05",$-8.04,$-8.04,-0.20%
AMGN,264,264,404,404,0,"$124,336.67","$124,426.99",$90.32,$90.32,+0.07%
AMT,243,243,393,393,0,"$76,745.80","$76,892.29",$146.49,$146.49,+0.19%
AMZN,1,1,1,1,0,"$3,042.61","$3,019.40",$-23.21,$-23.21,-0.76%
APA,480,480,12852,12852,0,"$323,008.40","$324,031.56","$1,023.16","$1,023.16",+0.32%
APD,223,223,292,292,0,"$81,119.77","$81,169.49",$49.72,$49.72,+0.06%
ARCT,419,419,16911,16911,0,"$185,051.37","$183,910.37","$-1,141.00","$-1,141.00",-0.62%
AVAV,389,389,942,942,0,"$198,978.49","$198,837.96",$-140.53,$-140.53,-0.07%
AVGO,373,373,890,890,0,"$209,635.38","$209,934.79",$299.42,$299.42,+0.14%
AXP,349,349,667,667,0,"$191,167.42","$191,508.19",$340.77,$340.77,+0.18%
BA,590,590,1909,1909,0,"$367,688.60","$367,502.46",$-186.14,$-186.14,-0.05%
BABA,592,592,2820,2820,0,"$283,068.54","$283,476.54",$407.99,$407.99,+0.14%
BBAI,678,678,205311,205311,0,"$438,798.77","$442,911.38","$4,112.61","$4,112.61",+0.94%
BBY,289,289,1637,1637,0,"$120,940.47","$120,742.75",$-197.72,$-197.72,-0.16%
BE,579,579,18389,18389,0,"$382,394.89","$385,587.08","$3,192.19","$3,192.19",+0.83%
BEAM,350,350,8311,8311,0,"$188,497.91","$189,222.46",$724.55,$724.55,+0.38%
