Consistency Check Warnings (Real Issues + Faulty Data)
============================================================

• [RSI Mean Reversion Selective] ⚠️  REAL ISSUES: Detected 138 suspicious price jumps > 15% (possible missing corporate actions)
•   Trade #2 (OPEN) @ 2026-02-02 10:39:00: -83.57% ($30.51 → $5.01)
•   Trade #3 (RBLX) @ 2026-02-02 10:40:00: +1204.94% ($5.01 → $65.39)
•   Trade #4 (RKLB) @ 2026-02-02 10:40:00: +19.23% ($65.39 → $77.97)
•   Trade #5 (AMD) @ 2026-02-02 10:43:00: +195.00% ($77.97 → $230.00)
•   Trade #6 (MU) @ 2026-02-02 10:44:00: +75.56% ($230.00 → $403.78)
•   Trade #7 (INTC) @ 2026-02-02 10:44:00: -88.74% ($403.78 → $45.47)
•   Trade #8 (GREE) @ 2026-02-03 00:01:00: -97.12% ($45.47 → $1.31)
•   Trade #9 (LRCX) @ 2026-02-03 00:03:00: +18129.91% ($1.31 → $238.95)
•   Trade #10 (TEAM) @ 2026-02-03 00:08:00: -52.16% ($238.95 → $114.32)
•   Trade #11 (LAC) @ 2026-02-03 00:10:00: -95.79% ($114.32 → $4.81)
•   Trade #12 (PLUG) @ 2026-02-03 00:13:00: -56.76% ($4.81 → $2.08)
•   Trade #13 (VERI) @ 2026-02-03 00:19:00: +83.22% ($2.08 → $3.81)
•   Trade #14 (MPC) @ 2026-02-03 00:24:00: +4487.63% ($3.81 → $174.86)
•   Trade #15 (AI) @ 2026-02-03 00:39:00: -93.71% ($174.86 → $10.99)
•   Trade #16 (BEAM) @ 2026-02-04 00:01:00: +152.05% ($10.99 → $27.71)
•   Trade #17 (CAN) @ 2026-02-04 00:04:00: -97.88% ($27.71 → $0.59)
•   Trade #18 (SNOW) @ 2026-02-04 00:11:00: +29083.58% ($0.59 → $171.05)
•   Trade #19 (ENPH) @ 2026-02-04 00:20:00: -73.90% ($171.05 → $44.64)
•   Trade #20 (SEDG) @ 2026-02-04 00:21:00: -26.80% ($44.64 → $32.68)
•   Trade #21 (APP) @ 2026-02-04 00:26:00: +1301.93% ($32.68 → $458.10)
•   Trade #22 (NET) @ 2026-02-04 00:40:00: -63.10% ($458.10 → $169.03)
•   Trade #23 (DNA) @ 2026-02-04 00:41:00: -94.80% ($169.03 → $8.78)
•   Trade #24 (MSTR) @ 2026-02-05 00:01:00: +1350.07% ($8.78 → $127.34)
•   Trade #25 (SNAP) @ 2026-02-05 00:02:00: -95.26% ($127.34 → $6.04)
•   Trade #26 (PLTR) @ 2026-02-05 00:05:00: +2201.26% ($6.04 → $139.01)
•   Trade #27 (ETN) @ 2026-02-05 00:05:00: +165.86% ($139.01 → $369.57)
•   Trade #29 (PINS) @ 2026-02-05 00:11:00: -93.93% ($328.87 → $19.96)
•   Trade #30 (BE) @ 2026-02-05 00:16:00: +641.65% ($19.96 → $148.01)
•   Trade #31 (GM) @ 2026-02-05 00:19:00: -41.82% ($148.01 → $86.11)
•   Trade #32 (CRWD) @ 2026-02-06 00:00:00: +332.56% ($86.11 → $372.49)
•   Trade #33 (BKR) @ 2026-02-06 00:00:00: -84.69% ($372.49 → $57.01)
•   Trade #34 (RIO) @ 2026-02-06 00:00:00: +58.45% ($57.01 → $90.33)
•   Trade #35 (AVGO) @ 2026-02-06 00:01:00: +238.38% ($90.33 → $305.66)
•   Trade #36 (ASML) @ 2026-02-06 00:01:00: +334.01% ($305.66 → $1326.61)
•   Trade #37 (SHOP) @ 2026-02-06 00:01:00: -91.81% ($1326.61 → $108.60)
•   Trade #38 (NTLA) @ 2026-02-06 00:01:00: -90.12% ($108.60 → $10.73)
•   Trade #39 (AVAV) @ 2026-02-06 00:01:00: +2049.49% ($10.73 → $230.55)
•   Trade #40 (CTRA) @ 2026-02-07 00:04:00: -86.63% ($230.55 → $30.83)
•   Trade #41 (SYK) @ 2026-02-07 00:05:00: +1050.06% ($30.83 → $354.52)
•   Trade #42 (RIOT) @ 2026-02-07 00:05:00: -95.91% ($354.52 → $14.50)
•   Trade #43 (AFRM) @ 2026-02-07 00:08:00: +293.83% ($14.50 → $57.11)
•   Trade #44 (MARA) @ 2026-02-07 00:20:00: -85.48% ($57.11 → $8.29)
•   Trade #45 (FANG) @ 2026-02-07 00:25:00: +1892.39% ($8.29 → $165.18)
•   Trade #46 (HUBS) @ 2026-02-07 00:29:00: +41.21% ($165.18 → $233.25)
•   Trade #47 (EDIT) @ 2026-02-07 00:35:00: -99.23% ($233.25 → $1.80)
•   Trade #48 (SLB) @ 2026-02-09 09:00:00: +2683.17% ($1.80 → $50.16)
•   Trade #49 (NIO) @ 2026-02-09 09:00:00: -90.15% ($50.16 → $4.94)
•   Trade #50 (LI) @ 2026-02-09 09:00:00: +272.59% ($4.94 → $18.41)
•   Trade #51 (JD) @ 2026-02-09 09:00:00: +50.44% ($18.41 → $27.70)
•   Trade #52 (PYPL) @ 2026-02-09 09:14:00: +46.63% ($27.70 → $40.62)
•   Trade #53 (SOUN) @ 2026-02-09 09:17:00: -78.70% ($40.62 → $8.65)
•   Trade #54 (SPCE) @ 2026-02-09 09:18:00: -68.44% ($8.65 → $2.73)
•   Trade #55 (APA) @ 2026-02-09 09:19:00: +897.92% ($2.73 → $27.25)
•   Trade #56 (DD) @ 2026-02-10 00:01:00: +69.24% ($27.25 → $46.11)
•   Trade #58 (BLK) @ 2026-02-10 00:22:00: +2019.70% ($50.61 → $1072.78)
•   Trade #59 (BLDP) @ 2026-02-10 00:31:00: -99.80% ($1072.78 → $2.12)
•   Trade #60 (TER) @ 2026-02-10 00:48:00: +14404.72% ($2.12 → $307.56)
•   Trade #61 (GPN) @ 2026-02-10 00:52:00: -77.13% ($307.56 → $70.35)
•   Trade #62 (CRM) @ 2026-02-10 09:00:00: +173.02% ($70.35 → $192.07)
•   Trade #63 (QCOM) @ 2026-02-10 09:00:00: -28.79% ($192.07 → $136.78)
•   Trade #64 (HOOD) @ 2026-02-11 00:00:00: -42.23% ($136.78 → $79.02)
•   Trade #65 (MRNA) @ 2026-02-11 00:01:00: -51.70% ($79.02 → $38.16)
•   Trade #66 (DHR) @ 2026-02-11 00:12:00: +475.15% ($38.16 → $219.49)
•   Trade #67 (MCD) @ 2026-02-11 00:38:00: +48.78% ($219.49 → $326.57)
•   Trade #68 (CL) @ 2026-02-11 00:51:00: -71.40% ($326.57 → $93.39)
•   Trade #69 (Z) @ 2026-02-11 00:56:00: -44.20% ($93.39 → $52.11)
•   Trade #70 (UPST) @ 2026-02-11 00:58:00: -25.75% ($52.11 → $38.69)
•   Trade #71 (BBAI) @ 2026-02-11 09:53:00: -88.19% ($38.69 → $4.57)
•   Trade #72 (FCEL) @ 2026-02-12 00:28:00: +58.07% ($4.57 → $7.22)
•   Trade #74 (ORCL) @ 2026-05-07 23:50:00: +2482.91% ($7.33 → $189.37) [synthetic_jump]
•   Trade #75 (U) @ 2026-05-07 23:50:00: -86.00% ($189.37 → $26.52) [synthetic_jump]
•   Trade #76 (OPEN) @ 2026-05-07 23:50:00: -80.37% ($26.52 → $5.20) [synthetic_jump]
•   Trade #77 (RBLX) @ 2026-05-07 23:50:00: +756.67% ($5.20 → $44.58) [synthetic_jump]
•   Trade #78 (RKLB) @ 2026-05-07 23:50:00: +84.14% ($44.58 → $82.09) [synthetic_jump]
•   Trade #79 (AMD) @ 2026-05-07 23:50:00: +395.64% ($82.09 → $406.88) [synthetic_jump]
•   Trade #80 (MU) @ 2026-05-07 23:50:00: +58.26% ($406.88 → $643.93) [synthetic_jump]
•   Trade #81 (INTC) @ 2026-05-07 23:50:00: -83.20% ($643.93 → $108.15) [synthetic_jump]
