Strategy Summary: RSI Mean Reversion Selective

Portfolio Totals
Cash,"$11,260.06"
Market Value,$0.00
Total Value,"$11,260.06"
Total Buy Count,74
Total Sell Count,74
Total PnL,"$1,260.06"

Symbol,Buy Count,Sell Count,Shares Bought,Total Cost,Total Revenue,Total PnL,PnL %
AFRM,1,1,1,$57.11,$66.63,$9.53,+16.68%
AI,1,1,1,$10.99,$9.52,$-1.47,-13.39%
AMD,1,1,1,$230.00,$406.88,$176.87,+76.90%
APA,1,1,1,$27.25,$36.86,$9.61,+35.28%
APP,1,1,1,$458.10,$489.95,$31.85,+6.95%
ARCT,1,1,1,$7.33,$7.67,$0.34,+4.61%
ASML,1,1,1,"$1,326.61","$1,518.92",$192.31,+14.50%
AVAV,1,1,1,$230.55,$167.00,$-63.55,-27.56%
AVGO,1,1,1,$305.66,$412.93,$107.27,+35.09%
BBAI,1,1,1,$4.57,$4.14,$-0.43,-9.49%
BE,1,1,1,$148.01,$258.88,$110.87,+74.91%
BEAM,1,1,1,$27.71,$31.10,$3.39,+12.25%
BKR,1,1,1,$57.01,$64.23,$7.22,+12.67%
BLDP,1,1,1,$2.12,$4.66,$2.54,+119.72%
BLK,1,1,1,"$1,072.78","$1,055.00",$-17.78,-1.66%
CAN,1,1,1,$0.59,$0.51,$-0.07,-12.43%
CL,1,1,1,$93.39,$87.36,$-6.03,-6.46%
CRM,1,1,1,$192.07,$182.04,$-10.03,-5.22%
CRWD,1,1,1,$372.49,$505.44,$132.95,+35.69%
CTRA,1,1,1,$30.83,$32.49,$1.66,+5.40%
DD,1,1,1,$46.11,$48.00,$1.89,+4.10%
DHR,1,1,1,$219.49,$175.66,$-43.83,-19.97%
DNA,1,1,1,$8.78,$8.66,$-0.12,-1.37%
EDIT,1,1,1,$1.80,$2.98,$1.18,+65.35%
ENPH,1,1,1,$44.64,$35.25,$-9.39,-21.04%
ETN,1,1,1,$369.57,$400.06,$30.48,+8.25%
FANG,1,1,1,$165.18,$192.73,$27.55,+16.68%
FCEL,1,1,1,$7.22,$11.93,$4.71,+65.13%
FIS,1,1,1,$50.61,$47.32,$-3.29,-6.50%
GM,1,1,1,$86.11,$78.31,$-7.80,-9.06%
GPN,1,1,1,$70.35,$70.15,$-0.20,-0.29%
GREE,1,1,1,$1.31,$1.16,$-0.15,-11.50%
HOOD,1,1,1,$79.02,$75.70,$-3.31,-4.19%
HUBS,1,1,1,$233.25,$198.02,$-35.23,-15.10%
INTC,1,1,1,$45.47,$108.15,$62.68,+137.86%
JD,1,1,1,$27.70,$30.16,$2.46,+8.88%
LAC,1,1,1,$4.81,$5.59,$0.78,+16.22%
LI,1,1,1,$18.41,$17.58,$-0.84,-4.54%
LRCX,1,1,1,$238.95,$286.00,$47.05,+19.69%
MARA,1,1,1,$8.29,$12.47,$4.18,+50.42%
MCD,1,1,1,$326.57,$283.97,$-42.60,-13.04%
MPC,1,1,1,$174.86,$243.01,$68.15,+38.97%
MRNA,1,1,1,$38.16,$48.67,$10.51,+27.54%
MSTR,1,1,1,$127.34,$178.58,$51.24,+40.24%
MU,1,1,1,$403.78,$643.93,$240.15,+59.48%
NET,1,1,1,$169.03,$208.91,$39.87,+23.59%
NIO,1,1,1,$4.94,$5.88,$0.94,+18.96%
NTLA,1,1,1,$10.73,$13.65,$2.92,+27.26%
OPEN,1,1,1,$5.01,$5.20,$0.19,+3.85%
ORCL,1,1,1,$157.91,$189.37,$31.46,+19.93%
PINS,1,1,1,$19.96,$21.40,$1.44,+7.22%
PLTR,1,1,1,$139.01,$135.73,$-3.28,-2.36%
PLUG,1,1,1,$2.08,$3.11,$1.03,+49.68%
PYPL,1,1,1,$40.62,$46.14,$5.53,+13.60%
QCOM,1,1,1,$136.78,$201.32,$64.54,+47.19%
RBLX,1,1,1,$65.39,$44.58,$-20.81,-31.82%
RIO,1,1,1,$90.33,$105.00,$14.67,+16.24%
RIOT,1,1,1,$14.50,$23.69,$9.19,+63.39%
RKLB,1,1,1,$77.97,$82.09,$4.12,+5.29%
SEDG,1,1,1,$32.68,$38.55,$5.87,+17.97%
SHOP,1,1,1,$108.60,$110.36,$1.77,+1.63%
SLB,1,1,1,$50.16,$53.36,$3.20,+6.38%
SNAP,1,1,1,$6.04,$5.87,$-0.17,-2.87%
SNOW,1,1,1,$171.05,$151.82,$-19.23,-11.24%
SOUN,1,1,1,$8.65,$8.48,$-0.17,-1.93%
SPCE,1,1,1,$2.73,$2.55,$-0.18,-6.69%
SYK,1,1,1,$354.52,$294.46,$-60.06,-16.94%
TEAM,1,1,1,$114.32,$90.95,$-23.37,-20.44%
TER,1,1,1,$307.56,$354.34,$46.78,+15.21%
TSM,1,1,1,$328.87,$413.28,$84.41,+25.67%
U,1,1,1,$30.51,$26.52,$-3.99,-13.08%
UPST,1,1,1,$38.69,$28.85,$-9.84,-25.43%
VERI,1,1,1,$3.81,$2.07,$-1.74,-45.69%
Z,1,1,1,$52.11,$43.77,$-8.34,-16.00%
