Strategy Summary: Smart RSI Confluence

Portfolio Totals
Cash,"$10,775.49"
Market Value,$0.00
Total Value,"$10,775.49"
Total Buy Count,52
Total Sell Count,52
Total PnL,$775.49

Symbol,Buy Count,Sell Count,Shares Bought,Total Cost,Total Revenue,Total PnL,PnL %
AES,1,1,2,$31.75,$28.58,$-3.17,-9.97%
AFRM,1,1,2,$125.03,$133.27,$8.24,+6.59%
AI,1,1,2,$21.64,$19.04,$-2.60,-12.03%
APP,1,1,2,$924.18,$979.90,$55.71,+6.03%
BA,1,1,2,$471.59,$461.40,$-10.19,-2.16%
BBAI,1,1,2,$7.88,$8.27,$0.39,+4.97%
BE,1,1,2,$297.22,$517.76,$220.54,+74.20%
BEAM,1,1,2,$56.01,$62.20,$6.19,+11.05%
CAN,1,1,2,$1.20,$1.03,$-0.17,-14.30%
CCI,1,1,2,$162.01,$182.14,$20.13,+12.42%
CRSP,1,1,2,$103.32,$105.20,$1.88,+1.82%
CTRA,1,1,2,$57.09,$64.98,$7.89,+13.82%
CVNA,1,1,2,$782.76,$796.04,$13.28,+1.70%
DNA,1,1,2,$19.06,$17.32,$-1.74,-9.13%
EDIT,1,1,2,$3.64,$5.96,$2.32,+63.70%
EL,1,1,2,$191.04,$169.62,$-21.42,-11.21%
ENPH,1,1,2,$89.55,$70.50,$-19.05,-21.28%
ETSY,1,1,2,$108.73,$128.00,$19.27,+17.72%
F,1,1,2,$27.68,$24.28,$-3.40,-12.27%
FCX,1,1,2,$122.97,$120.36,$-2.61,-2.12%
GILD,1,1,2,$283.92,$264.04,$-19.88,-7.00%
GREE,1,1,2,$2.54,$2.32,$-0.22,-8.65%
HUBS,1,1,2,$496.66,$396.03,$-100.63,-20.26%
INTC,1,1,2,$93.67,$216.30,$122.63,+130.91%
KTOS,1,1,2,$191.78,$114.46,$-77.32,-40.32%
LAC,1,1,2,$9.70,$11.18,$1.48,+15.27%
LULU,1,1,2,$346.89,$266.11,$-80.78,-23.29%
LYB,1,1,2,$110.09,$145.00,$34.91,+31.72%
MDB,1,1,2,$684.68,$577.04,$-107.64,-15.72%
MP,1,1,2,$122.02,$142.25,$20.24,+16.59%
MTCH,1,1,2,$62.22,$71.60,$9.38,+15.08%
MU,1,1,2,$809.10,"$1,287.87",$478.76,+59.17%
NEM,1,1,2,$228.85,$227.74,$-1.11,-0.48%
NET,1,1,2,$322.38,$417.82,$95.43,+29.60%
NFLX,1,1,2,$166.55,$176.90,$10.35,+6.22%
NTLA,1,1,2,$25.51,$27.30,$1.79,+7.03%
NVO,1,1,2,$88.30,$90.69,$2.40,+2.71%
OKTA,1,1,2,$162.17,$159.94,$-2.23,-1.38%
OPEN,1,1,2,$10.18,$10.41,$0.23,+2.23%
ORCL,1,1,2,$318.00,$378.75,$60.74,+19.10%
PFE,1,1,2,$53.37,$52.99,$-0.38,-0.71%
PINS,1,1,2,$39.99,$42.80,$2.81,+7.02%
PLTR,1,1,2,$313.92,$271.46,$-42.46,-13.53%
RBLX,1,1,2,$129.33,$89.16,$-40.17,-31.06%
RIOT,1,1,1,$14.58,$23.69,$9.11,+62.47%
SEDG,1,1,2,$65.35,$77.10,$11.75,+17.97%
SNOW,1,1,2,$345.27,$303.63,$-41.64,-12.06%
SOUN,1,1,2,$16.52,$16.97,$0.45,+2.70%
TER,1,1,2,$547.61,$708.69,$161.08,+29.41%
U,1,1,2,$61.04,$53.03,$-8.01,-13.12%
UAL,1,1,2,$205.82,$197.70,$-8.12,-3.95%
UPST,1,1,2,$66.67,$57.71,$-8.96,-13.45%
