Strategy Summary: RSI Mean Reversion Selective

Portfolio Totals
Cash,"$6,554.59"
Market Value,$0.00
Total Value,"$6,554.59"
Total Buy Count,42
Total Sell Count,42
Total PnL,"$-3,445.41"

Symbol,Buy Count,Sell Count,Shares Bought,Total Cost,Total Revenue,Total PnL,PnL %
ADM,1,1,1,$64.79,$77.12,$12.33,+19.03%
AFRM,1,1,1,$57.11,$66.63,$9.53,+16.68%
AI,1,1,1,$10.99,$9.52,$-1.47,-13.39%
ALB,1,1,1,$166.63,$199.44,$32.81,+19.69%
AMD,1,1,1,$230.00,$406.88,$176.87,+76.90%
APA,1,1,1,$27.25,$36.86,$9.61,+35.28%
AVGO,1,1,1,$305.66,$412.93,$107.27,+35.09%
BKNG,1,1,1,"$4,641.13",$170.39,"$-4,470.74",-96.33%
BKR,1,1,1,$57.01,$64.23,$7.22,+12.67%
CMCSA,1,1,1,$29.46,$26.29,$-3.17,-10.75%
CRM,1,1,1,$195.10,$182.04,$-13.06,-6.69%
CRWD,1,1,1,$372.49,$505.44,$132.95,+35.69%
CSCO,1,1,1,$82.33,$92.27,$9.95,+12.08%
CTRA,1,1,1,$28.50,$32.49,$3.99,+14.02%
DD,1,1,1,$43.93,$48.00,$4.07,+9.27%
DDOG,1,1,1,$119.38,$185.91,$66.52,+55.72%
ETN,1,1,1,$369.57,$400.06,$30.48,+8.25%
ETSY,1,1,1,$54.01,$64.00,$9.99,+18.49%
FCX,1,1,1,$58.43,$60.18,$1.75,+2.99%
GM,1,1,1,$86.11,$78.31,$-7.80,-9.06%
INTC,1,1,1,$45.47,$108.15,$62.68,+137.86%
LRCX,1,1,1,$238.95,$286.00,$47.05,+19.69%
MCD,1,1,1,$318.05,$283.97,$-34.09,-10.72%
MPC,1,1,1,$174.86,$243.01,$68.15,+38.97%
MSFT,1,1,1,$409.32,$419.48,$10.15,+2.48%
MU,1,1,1,$403.78,$643.93,$240.15,+59.48%
NET,1,1,1,$169.03,$208.91,$39.87,+23.59%
NOW,1,1,1,$109.01,$92.01,$-17.00,-15.60%
OKTA,1,1,1,$81.09,$79.97,$-1.12,-1.38%
ORCL,1,1,1,$157.91,$189.37,$31.46,+19.93%
OXY,1,1,1,$45.03,$54.69,$9.66,+21.45%
PATH,1,1,1,$12.36,$10.83,$-1.53,-12.36%
PINS,1,1,1,$19.96,$21.40,$1.44,+7.22%
PLTR,1,1,1,$139.01,$135.73,$-3.28,-2.36%
RBLX,1,1,1,$65.39,$44.58,$-20.81,-31.82%
SBUX,1,1,1,$96.27,$104.29,$8.02,+8.33%
SHOP,1,1,1,$108.60,$110.36,$1.77,+1.63%
SNAP,1,1,1,$6.04,$5.87,$-0.17,-2.87%
SNOW,1,1,1,$171.05,$151.82,$-19.23,-11.24%
UPST,1,1,1,$33.33,$28.85,$-4.48,-13.43%
XLE,1,1,1,$49.82,$56.42,$6.60,+13.25%
XOM,1,1,1,$137.38,$147.54,$10.17,+7.40%
